m,twod,n_ext,n_nat,p_ext,p_nat,q_ext,q_nat,status_ext_Hypatia,status_ext_Mosek,status_nat_Hypatia,converged_ext_Hypatia,converged_ext_Mosek,converged_nat_Hypatia,iters_ext_Hypatia,iters_ext_Mosek,iters_nat_Hypatia,solve_time_ext_Hypatia,solve_time_ext_Mosek,solve_time_nat_Hypatia
1,6,31,8,8,1,38,16,co,co,co,true,true,true,12,8,12,3.5044610500335693,0.014688968658447266,6.417373180389404
1,150,6183,152,152,1,6542,319,co,co,co,true,true,true,34,10,56,71.5249400138855,4.953510999679565,0.2226870059967041
1,300,23614,302,302,1,24335,634,tl,co,co,false,true,true,-1,18,71,NaN,176.72694993019104,0.8923759460449219
1,600,-1,602,-1,1,-1,1264,,rl,co,,false,true,,-1,103,,NaN,4.391002178192139
1,1200,,1202,,1,,2524,,,co,,,true,,,153,,,30.60911512374878
1,1800,,1802,,1,,3784,,,sp,,,false,,,161,,,82.88701796531677
1,2400,,2402,,1,,5044,,,sp,,,false,,,141,,,144.3115758895874
1,3000,,3002,,1,,6304,,,sp,,,false,,,113,,,195.06955194473267
2,4,-1,16,-1,1,-1,33,co,rl,co,true,false,true,15,-1,14,0.021990060806274414,NaN,0.017442941665649414
2,20,5778,232,232,1,6057,487,co,,co,true,,true,27,,37,53.99143886566162,,0.24671196937561035
2,40,72991,862,862,1,74176,1810,rl,,co,false,,true,-1,,65,NaN,,5.484863996505737
2,60,,1892,,1,,3973,,,co,,,true,,,90,,,47.432486057281494
2,80,,3322,,1,,6976,,,co,,,true,,,118,,,227.54422688484192
3,4,-1,36,-1,1,-1,75,co,rl,co,true,false,true,17,-1,19,0.06473088264465332,NaN,0.01984405517578125
3,6,,85,,1,,178,,,co,,,true,,,25,,,0.04613208770751953
3,12,,456,,1,,957,,,co,,,true,,,53,,,1.1663789749145508
3,18,,1331,,1,,2795,,,co,,,true,,,85,,,18.59014320373535
3,24,,2926,,1,,6144,,,co,,,true,,,126,,,179.46953511238098
4,4,378,71,71,1,562,148,co,,co,true,,true,21,,21,0.22850704193115234,,0.03310418128967285
4,8,6524,496,496,1,8075,1041,co,,co,true,,true,60,,48,188.26612281799316,,1.3749029636383057
4,12,58027,1821,1821,1,60301,3824,rl,,co,false,,true,-1,,83,NaN,,40.579039096832275
8,4,,496,,1,,1041,,,co,,,true,,,31,,,0.9638650417327881
8,6,,3004,,1,,6308,,,sp,,,false,,,86,,,200.6243929862976
16,2,578,154,154,1,935,323,co,,co,true,,true,29,,25,0.46732211112976074,,0.1483628749847412
16,4,27266,4846,4846,1,38803,10176,tl,,tl,false,,false,-1,,-1,NaN,,NaN
32,2,2178,562,562,1,3663,1180,co,,co,true,,false,44,,32,12.392535924911499,,2.6617181301116943
64,2,8450,2146,2146,1,14495,4506,sp,,co,false,,false,44,,23,266.58321595191956,,84.6582338809967
