k,logdetobj,n_ext,n_nat,p_ext,p_nat,q_ext,q_nat,status_ext_Hypatia,status_ext_Mosek,status_nat_Hypatia,converged_ext_Hypatia,converged_ext_Mosek,converged_nat_Hypatia,iters_ext_Hypatia,iters_ext_Mosek,iters_nat_Hypatia,solve_time_ext_Hypatia,solve_time_ext_Mosek,solve_time_nat_Hypatia
3,false,16,7,1,1,43,14,co,co,co,false,true,true,13,10,11,0.008589029312133789,0.004291057586669922,17.01763606071472
20,false,282,41,1,1,994,252,co,co,co,false,false,false,22,11,16,0.3008120059967041,0.2000560760498047,0.027916908264160156
40,false,964,81,1,1,3590,902,co,co,co,false,true,false,28,14,20,2.1642329692840576,3.957545042037964,0.18503689765930176
60,false,2014,121,1,1,7690,1952,co,co,co,false,false,false,29,10,20,12.820300102233887,18.138638973236084,0.6972968578338623
80,false,3528,161,1,1,13582,3402,co,co,co,false,false,false,32,11,22,52.51065492630005,69.45444893836975,2.2119200229644775
100,false,5378,201,1,1,20882,5252,co,co,co,false,false,false,33,10,23,154.69400787353516,185.48768210411072,5.93272590637207
120,false,7628,241,1,1,29782,7502,co,co,co,false,true,false,35,12,24,402.6786358356476,471.4919910430908,14.72110891342163
140,false,10406,281,1,1,40666,10152,co,co,co,false,true,false,42,11,25,1040.2370920181274,991.581228017807,27.962332010269165
160,false,13456,321,1,1,52766,13202,tl,tl,co,false,false,false,-1,-1,25,NaN,NaN,52.747305154800415
180,false,,361,,1,,16652,,,co,,,false,,,25,,,94.61888098716736
200,false,,401,,1,,20502,,,co,,,false,,,27,,,172.86621594429016
220,false,,441,,1,,24752,,,co,,,false,,,27,,,280.31151700019836
