k,logdetobj,n_ext,n_nat,p_ext,p_nat,q_ext,q_nat,status_ext_Hypatia,status_ext_Mosek,status_nat_Hypatia,converged_ext_Hypatia,converged_ext_Mosek,converged_nat_Hypatia,iters_ext_Hypatia,iters_ext_Mosek,iters_nat_Hypatia,solve_time_ext_Hypatia,solve_time_ext_Mosek,solve_time_nat_Hypatia
3,true,-1,7,-1,1,-1,15,co,er,co,true,false,true,15,-1,14,0.945551872253418,NaN,8.419743061065674
20,true,271,41,1,1,961,253,co,,co,false,,false,21,,17,0.27542710304260254,,0.041085004806518555
40,true,941,81,1,1,3521,903,co,,co,false,,false,25,,22,3.2920520305633545,,0.49930787086486816
60,true,2011,121,1,1,7681,1953,co,,co,false,,false,27,,24,11.683177947998047,,2.580967903137207
80,true,3481,161,1,1,13441,3403,co,,co,false,,false,29,,27,46.643462896347046,,10.321741104125977
100,true,5351,201,1,1,20801,5253,co,,co,false,,false,31,,26,148.05974411964417,,21.648125171661377
120,true,7621,241,1,1,29761,7503,co,,co,false,,false,33,,30,388.6878499984741,,70.98408699035645
140,true,10291,281,1,1,40321,10153,co,,co,false,,false,34,,28,886.0582239627838,,127.87220501899719
160,true,13361,321,1,1,52481,13203,tl,,co,false,,false,-1,,29,NaN,,263.06637811660767
180,true,,361,,1,,16653,,,co,,,false,,,29,,,406.9092400074005
200,true,,401,,1,,20503,,,co,,,false,,,31,,,974.3885018825531
220,true,,441,,1,,24753,,,co,,,false,,,30,,,1233.2928948402405
