example,model_type,inst_set,inst_num,inst_data,extender,real_T,solver,solver_options,nondefaults,script_status,n,p,q,nu,cone_types,num_cones,max_q,status,solve_time,iters,primal_obj,dual_obj,rel_obj_diff,compl,x_viol,y_viol,z_viol,time_rescale,time_initx,time_inity,time_unproc,time_loadsys,time_upsys,time_upfact,time_uprhs,time_getdir,time_search,setup_time,check_time,total_time
centralpolymat,JuMP,nat,1,"(1, 40, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,862,81,863,43.0,"[""EpiPerSepSpectral""]",1,863,Optimal,2.2712550163269043,25,2.2784323886150926,2.278432314743689,2.2532538899327543e-8,2.4833653451625513e-6,1.4521731516933811e-9,6.1187173432330555e-15,2.8501177806727895e-10,0.004991282,0.000890511,0.007568643,0.00033306,0.005233052,1.93867892,0.057126799000000006,0.11690546299999999,0.12123513699999997,0.07060036799999998,1.113845372,3.004629768,84.34120289
centralpolymat,JuMP,nat,2,"(1, 80, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,3322,161,3323,83.0,"[""EpiPerSepSpectral""]",1,3323,Optimal,50.82249999046326,29,2.57381954280864,2.5738193405472005,5.6595317312801495e-8,1.37523556245325e-5,2.1451764232148507e-9,3.061570418739366e-14,2.2979834701786217e-10,0.070203755,0.025643428,0.180216142,0.00155695,0.071746393,46.663334585,1.1071153049999998,0.5944163659999999,2.7401878719999995,0.3399008249999999,1.002197802,51.09211102,125.725018123
centralpolymat,JuMP,nat,3,"(1, 120, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,7382,241,7383,123.0,"[""EpiPerSepSpectral""]",1,7383,Optimal,363.5085039138794,33,2.739737734663803,2.7397376068032058,3.4189724163649963e-8,1.3232117538681177e-5,9.307431756734597e-10,4.8618851950395565e-14,8.58685483828836e-11,0.377905611,0.137336234,0.832655605,0.00430204,0.419767973,341.497057144,10.238019827999999,2.2160086469999998,16.240750902000002,0.981555003,1.000756759,363.730166672,439.104688916
centralpolymat,JuMP,nat,4,"(1, 160, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,13042,321,13043,163.0,"[""EpiPerSepSpectral""]",1,13043,Optimal,1585.894604921341,36,2.9063370347254676,2.9063369413510274,2.390332467008796e-8,1.281774514261258e-5,5.140679540036053e-10,6.809868135104888e-14,4.135687625694828e-11,1.21146608,0.420206344,2.510064265,0.0061977,1.465058779,1510.793442957,47.477760415,5.176037730999997,59.576693318000004,2.114533785,2.003810357,1586.255169764,1659.563637205
centralpolymat,JuMP,nat,1,"(2, 6, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,407,91,408,30.0,"[""EpiPerSepSpectral""]",1,408,Optimal,0.4230339527130127,24,3.975504415298194,3.975504157300084,5.1853661826112726e-8,9.521291624636449e-7,4.367670849991789e-9,2.128898260454256e-15,1.8010066216156417e-9,0.0011813,0.00019706,0.00350075,0.00024175,0.00098703,0.3121070799999999,0.00913663,0.029525759000000016,0.025962359999999997,0.047367829,1.002552534,1.002011278,76.608070706
centralpolymat,JuMP,nat,2,"(2, 9, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,1541,190,1542,57.0,"[""EpiPerSepSpectral""]",1,1542,Optimal,8.233764171600342,29,4.63920042996082,4.63920016885251,4.630236582814484e-8,1.467876543406604e-6,2.3655468929170698e-9,4.037768317012688e-15,3.6215329346500624e-10,0.017433579,0.00210036,0.030785149,0.00108029,0.01444798,7.375263133000001,0.182386946,0.23691272199999994,0.37844079500000005,0.168950276,1.001878147,9.010663561,83.730047491
centralpolymat,JuMP,nat,3,"(2, 12, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,4187,325,4188,93.0,"[""EpiPerSepSpectral""]",1,4188,Optimal,109.64187097549438,39,5.579039838138234,5.579039749039165,1.3542868390294847e-8,6.784308059080891e-7,5.009123775490121e-10,6.524465554555112e-15,6.223715293129928e-11,0.129617084,0.041311598,0.351775038,0.00357006,0.29129651,100.31921884799999,2.4572972320000006,1.3324283890000004,6.101813187,0.7795353230000001,1.002739497,110.208059604,185.002877601
centralpolymat,JuMP,nat,4,"(2, 15, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,9317,496,9318,138.0,"[""EpiPerSepSpectral""]",1,9318,Optimal,794.77086186409,43,6.144625230175146,6.144624946968233,3.963915742732603e-8,2.7310683607776296e-6,1.0691372544224809e-9,5.4714357310897226e-15,1.311240907519995e-10,0.573631449,0.211092312,1.987829128,0.007361459,0.777394702,752.2943240310002,21.734304285,4.500351651,31.410268911999996,1.4334451389999998,2.004733739,795.607881007,868.976958278
centralpolymat,JuMP,nat,1,"(4, 3, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,631,210,632,37.0,"[""EpiPerSepSpectral""]",1,632,Optimal,1.0405559539794922,26,7.562947912579246,7.5629477854279,1.4849015727640281e-8,2.53726730410373e-7,1.4186912686287023e-9,5.115610443641806e-16,4.822218457878336e-10,0.00322515,0.00029428,0.00893679,0.00058852,0.001909389,0.8244643579999998,0.017936319,0.05829137800000001,0.053024209999999995,0.08619796300000002,1.002571145,2.003089041,77.125470669
centralpolymat,JuMP,nat,2,"(4, 4, Main.Examples.MatNegEntropyConj())",,Float64,Hypatia,,,Success,2486,495,2487,72.0,"[""EpiPerSepSpectral""]",1,2487,Optimal,22.575079917907715,28,10.932700232932158,10.932699817644968,3.4802450063453555e-8,1.117107413726621e-6,2.728045546407376e-9,6.920011089680145e-16,5.107363004741572e-10,0.050689247,0.006147859,0.156444294,0.003576889,0.101830627,20.671629660000004,0.43140462000000007,0.39038407599999997,0.8691019120000001,0.2868316429999999,1.002096352,23.031616618,95.509417488
