n,u,v,w
1,1.2909277167639117,0.8051020061515688,-0.8278383929725247
2,1.3315736878153963,0.5788578327133526,-0.6677705956035804
3,1.3363631409294143,0.45138176351385884,-0.5803412996674214
4,1.3325177013226233,0.37214665143973086,-0.5210334556595513
5,1.3266023409224823,0.3184560526615664,-0.4772236317401601
6,1.3204495675815198,0.2796708550076614,-0.4431322528335871
7,1.3146038117447707,0.2502925108359534,-0.4156183827888484
8,1.3092090247546897,0.22722325559476342,-0.3928010509530432
9,1.3042757575577577,0.20859188568614045,-0.37347529733444346
10,1.2997708185149162,0.19320302849154003,-0.3568288680951634
11,1.29564938795776,0.18025754638455163,-0.3422917263510098
12,1.2918666788896995,0.16920081484907476,-0.3294504986311802
13,1.2883819298697146,0.15963568048788632,-0.3179971526697742
15,1.2821682615734316,0.1438844858800282,-0.2983668668492898
16,1.279382053954182,0.13731029656751784,-0.28986283893581033
18,1.274336963420181,0.12609769157726758,-0.2748903498970896
20,1.2698782762583487,0.11686959508243867,-0.2620830655067704
22,1.2658970027493122,0.10912490278019474,-0.25096147284958625
25,1.260644349708158,0.09956640209637106,-0.23671606361869377
27,1.2575339160951065,0.09423650709008043,-0.2284997716216912
30,1.2533425174933774,0.08741836409439174,-0.21767640846018604
33,1.249619814848137,0.0816946489541927,-0.20829585157094477
37,1.2452398284367217,0.07533800325502418,-0.197532204519585
40,1.242311594906443,0.07130501060955728,-0.1904978673264064
45,1.2379751319219383,0.06563600844159044,-0.1803151246379301
49,1.2349055890245353,0.06183307821068028,-0.1732748706272613
55,1.2308298847020658,0.05704029101182125,-0.16413986279975615
60,1.2278263220301564,0.05368841619752488,-0.15756269003485365
67,1.2240985791519738,0.049732360670934304,-0.14958197292120023
74,1.2208185341828255,0.04643140442821969,-0.14272664444491023
81,1.2178976253483709,0.04362852675282953,-0.13675345820656745
90,1.2145663510825453,0.040583848222706546,-0.13009319438949118
99,1.211620115133148,0.03802146142597329,-0.12433788541742286
110,1.2084359963607376,0.035385251020787524,-0.11826127957901068
122,1.2053797611584007,0.03298073388937463,-0.11256953781475973
134,1.2026714979559423,0.03094973601939458,-0.10764172823586135
148,1.199864737521174,0.02894079204925853,-0.10265025383130497
164,1.1970305143310758,0.027008341286624524,-0.09772998197513977
181,1.1943683025225644,0.025278579395268536,-0.09321884640595199
200,1.1917332632263096,0.023645572428248513,-0.08885979804312177
221,1.1891557091550633,0.02212217879458065,-0.08469854206364637
245,1.186553718636316,0.02065643540746848,-0.08060140234818766
270,1.1841553149968291,0.019367737019575816,-0.07691749116284506
299,1.1816917482601967,0.018104591892476162,-0.07322656544149815
