n,u,v,w
1,-0.8278383988209332,0.8051020046301266,1.2909277133995187
2,-0.6896093813668849,0.7246041848151668,1.2246198793964276
3,-0.5843727339284922,0.6812805493472269,1.1824219977436121
4,-0.5035008191378234,0.6544854155362179,1.1530541809377421
5,-0.4402859012802647,0.6364442205929518,1.13146693222349
6,-0.3899799330514701,0.6235692732635836,1.114979598320431
7,-0.3492568008340302,0.6139776622037966,1.1020144619093857
8,-0.31576910389525886,0.6065898400348749,1.0915779086101025
9,-0.28783775464042743,0.6007452764540506,1.0830130063297732
10,-0.2642427946459786,0.5960189576529246,1.0758688188179744
11,-0.24408343912157227,0.5921261091266115,1.06982623698547
12,-0.2266839801734381,0.5888694306776932,1.064653590294501
13,-0.21152986646104865,0.5861082598312052,1.060178948136243
15,-0.18645441972773605,0.5816878395043164,1.0528334483854174
16,-0.17597573260561455,0.5798937856722567,1.0497843749335856
18,-0.15813828330374324,0.5769097776614355,1.0446202764424994
20,-0.14353549584162847,0.5745309646964797,1.040416064459904
22,-0.13137062341143016,0.572592315229273,1.036929028304575
25,-0.11651920745320125,0.5702774483136203,1.0326898258249175
27,-0.10833791294951937,0.5690262216702315,1.0303626125620362
30,-0.09800086639149017,0.5674692923304696,1.0274300382587067
33,-0.08945375882230955,0.5662019309474751,1.0250116541240262
37,-0.0801250357618685,0.5648390782324112,1.022378477613654
40,-0.07430774855409357,0.5639998917556881,1.0207397132800926
45,-0.06628112097599184,0.5628553281753553,1.0184825389475018
49,-0.06100573412044547,0.562111442391121,1.0170014854695746
55,-0.05449601994576577,0.5612025714400631,1.015176490346117
60,-0.05004394126607998,0.5605867220703539,1.0139299626394238
67,-0.04490596116582983,0.5598817494624496,1.0124929768245154
74,-0.04072353414586196,0.5593124221059624,1.0113244674929414
81,-0.03725303405482138,0.5588430814441941,1.0103556801541962
90,-0.03357360905804591,0.5583485206261145,1.0093293689301583
99,-0.030555186038796988,0.5579451323155455,1.0084880353096164
110,-0.02752968844984552,0.557542894299938,1.007645266052498
122,-0.024845560683932937,0.5571877936064619,1.0068980301677646
134,-0.022638143270537,0.5568969927485383,1.006283813832954
148,-0.020511859289936447,0.556617926921439,1.0056924324212317
164,-0.018523377230673363,0.5563578764281606,1.0051396056392463
181,-0.016793517040235583,0.5561323800757384,1.004658856863656
200,-0.015206293375297966,0.5559260723465976,1.0042178922168852
221,-0.013767995588012436,0.5557396108441199,1.0038184201015337
245,-0.012424853629564095,0.5555659101813243,1.0034454769243344
270,-0.011278683477566439,0.5554180036192228,1.0031273019397138
