count,mat,sparse,naive
1,9536.666802,9949.891836,4425902.259
2,10465.41948,11413.381,4426780.59
3,13078.02169,13385.15255,4426988.489
4,15567.4408,14404.09462,4285974.195
5,16791.20555,17268.13987,4287864.445
6,18039.03821,19849.38793,20197.72035
7,16758.1841,21028.74991,19552.49201
8,19437.82194,21689.92677,19748.2758
9,20177.02057,23811.01046,20074.95135
10,21844.31909,27202.1754,17937.33665
11,28470.048,23437.51316,28641.22322
12,30245.50075,25042.42895,32465.23528
13,38424.58365,25618.85143,33866.39459
14,42734.11586,26685.1472,31829.11924
15,114009.1123,35234.91364,31182.07341
16,183082.8341,248124.8535,29952.58301
17,2259859.853,256273.7825,97994.75655
18,4442381.65,614146.8528,107134.8049
19,4734181.39,654622.9761,108283.8281
20,13009504.18,965970.4779,149786.3494
