count,mat,sparse,naive,matsmooth,sparsesmooth,naivesmooth
1,185.7237406,371.4474811,42713.17055,18543.96722,101034.9962,1063885.022
2,6277.423292,3878.002231,323928.8146,41368.90872,139271.599,1123404.008
3,994.858411,15554.07321,101345.9911,45075.10867,146481.5237,1147520.125
4,1687.520138,1762.312713,292734.6065,47180.59621,148857.2165,1175107.224
5,31071.23801,702823.0618,99653.16743,98138.83255,250278.8504,1176388.72
6,7213.743275,14988.31218,399817.4736,108594.8442,205500.8974,1422227.384
7,12637.07146,37556.61638,461579.186,133666.9949,252382.8041,1474708.034
8,5698.635543,10197.68609,225323.2831,142743.8819,267748.4224,1504335.628
9,88726.10253,166283.7024,177000.3215,148615.133,1646775.985,1539780.655
10,30947.35581,56934.74784,8514754.205,1173051.995,1776810.149,1571174.504
11,228435.1387,382737.4756,637903.0354,1231082.538,2306261.271,763487.2873
12,43339.42273,75977.24856,565089.9758,1256831.149,2386546.346,740008.2323
13,22049.7339,39311.00178,377216.9855,1276803.981,2443638.84,721400.8746
14,511269.8835,1015978.652,305549.5705,1630179.943,3352692.726,3355399.086
15,135631.3547,255043.5318,2558039.805,1702630.722,3574182.19,3486518.782
16,257935.2506,483807.3787,924623.9701,1904591.591,4099582.204,3324543.81
17,103405.9408,191212.7992,757855.1238,1978131.005,4310048.121,3283065.885
18,64411.1471,13800473.31,579773.553,5176385.635,14306169.75,3254991.846
19,10333094.72,1466625.342,490938.8123,5778260.428,14637051.08,3242388.424
20,611252.794,5351445.972,437882.0424,6575031.164,19854033.31,3236952.914
21,485921.2416,1185588.218,403112.4854,7027142.637,20751046.7,3235538.898
22,243067.7468,646902.1917,379016.3985,56034549.98,5258645058,3236626.333
23,3555809.35,9129849.861,26717199.1,59000125.78,5268384890,3239374.033
24,1235777.678,3230873.29,1616746.523,83001606.82,5373224728,607722.8809
25,2155240.044,5509043.681,938290.0874,85565875.82,5381644537,485664.1443
26,993329.3851,2588466.546,509844.716,88013903.8,5404297277,712306.4764
27,32085952.24,100152429.1,477114.7373,90520449.88,5418114162,782706.7474
28,6083159.077,17109286.59,453739.3336,89954084.3,5426554758,819551.9603
29,18300802.08,53636447.62,436583.7083,92263238.58,5437741893,816156.1756
30,5132367.523,14321579.85,423741.8901,95576245.83,5446325024,813981.4248
31,490559994.7,52380125703,413986.8281,97742313.59,5456984633,948062.4937
32,29898825.71,98045224.1,406493.3992,51105550.87,230622907,1009830.619
33,243570619.8,1057528224,400687.5864,50667845.44,232662714.9,1013728.585
34,26878467.7,87428962.31,396159.1567,28742674.95,141134549.8,1017559.521
35,26635519.88,232036446.1,3204713.409,28605850.11,145208129.1,1021338.271
36,26058790.12,140757316,1213847.425,37059962.36,135602232.1,743865.6734
37,26422296.42,184558393.9,845566.8667,37031282.18,134165978.3,665167.9976
38,29174701.9,128980637,419781.4862,40869537.09,132894694.8,623052.2125
39,51430874.59,139467750.1,414836.2003,40524047.66,131869497.1,623320.0358
40,26793045.16,120917673.3,1764552.579,37935276.85,131510798,623927.7099
41,24192367.41,116508442.4,1031668.079,37369624.09,131305959.6,489440.8065
42,25521771.48,118443303.8,445473.0606,37316567.3,131939134.6,428144.5112
43,24318914.81,142246573.1,438996.9469,36961294.89,132140548.4,721192.6556
44,25510219.3,128164755.1,433946.6523,36915441.36,130156441.1,806143.7955
45,111176642.4,135977476.6,429987.4376,44995979.3,129380955.2,852524.9902
46,25771988.25,126394778.1,426870.6667,36059520.06,126849029.1,851904.1105
47,64804845.55,171845558.2,424409.0162,35756472.78,132132011.8,991097.4077
48,25719807.65,118728660.4,422459.7188,31358988.58,126079851.8,1054582.526
49,25543166.49,135880759.5,420912.9416,31020604.33,125725183,1055500.176
50,21136517.49,118869288.6,419683.5455,30762961.65,122093128.4,1056413.064
51,23661799.53,122840192.3,418705.1259,30452992.25,120976332.5,1057322.171
52,21969047.46,120457442.1,3375954.505,30180610.48,118720642.4,1058228.273
53,23860379.47,122405500.5,1288508.345,29890210.4,117471695.9,1071231.174
54,106315598.7,120409895.2,897758.5996,29625480.02,114244524.1,1074864.714
55,21812050.03,110658216.5,423778.6408,21187651.94,112057162.2,1077192.882
56,22741515.45,179224605.1,1818803.638,22640363.65,111260999.6,1078114.797
57,20830003.53,111323958,1059260.202,22437742.03,102485898.8,1083737.484
58,22335965.13,115181971.9,431636.2167,22440028.92,101380026.8,1086591.122
59,22966739.74,99560213.79,430041.818,22351470.5,100210529.6,1087537.274
60,18036823.4,107701329.2,428774.6197,28411698.64,99673475.19,1088478.494
61,20937981.91,100283291.9,427766.1455,28796840.03,98862839.81,1089415.8
62,19065046.66,107967977.3,3505983.51,28887893.09,98334273.59,1090349.993
63,21213075.69,90133782.14,1324843.749,29185829.43,97531562.64,783379.6307
64,21937317.9,98536276.16,921040.2796,29257074.65,99102029.34,694457.211
65,36339167.11,102696590.5,432997.7894,29600914.05,99650513.13,966052.5006
66,20715299.18,91473597.5,1875030.513,28222476.57,100084373.5,1058567.339
67,20852872.44,100265237.8,1087796.582,28381385.98,101390960.4,965252.2346
68,21450380.98,103486999.8,441097.7344,28514605.27,101658637.6,900377.0023
69,83569021.11,94189669.63,439454.0193,28649012.04,107573190.6,1048418.803
70,21888237.27,99594975.38,438147.6748,22530334.83,108656780.3,1115351.531
71,21848512.6,94997629.63,437108.0783,22564044.83,109129194,1115967.447
72,22044410.01,99940867.86,436279.8864,22592916.43,110022331.3,1116581.083
73,21925527.9,105838449.2,435619.5524,22664742.8,110514363.1,1117192.904
74,25375711.87,104021114.1,3636993.175,22723198.91,110350949.9,1117803.279
75,22554792.31,107035194.2,1358146.177,22425055.38,110331767.2,798222.4539
76,22304393.34,104539466.6,941879.4658,22415552.21,110272023.2,1039144.976
77,22185065.29,102942009.5,439044.2601,22421536.27,110364894.7,1083488.273
78,22794448.66,162632530.3,1921515.744,22433442.58,110567915.3,1135374.898
79,22382249.01,105025565.9,1108781.301,23455179.41,104837854.2,987621.0606
80,22225337.32,104319113.3,444306.8338,23488610.18,104825978.9,1073269.595
81,22137228.62,103929002.3,443244.4328,23517185.17,104856660.6,1141562.278
82,22762673.66,104861185.7,442398.094,23563103.91,104906773,1142063.458
83,22510088.97,104204317.3,441723.3042,23531683.75,105007272.3,1142563.049
84,22394276.62,103829286.6,441184.9266,23521419.43,105128292.1,1143061.373
85,22459760.61,106437754.5,3767371.401,23520146.53,105259173.5,1143558.689
86,22364233.92,105468181.2,1385312.435,25997643.83,105105037,811393.5753
87,22304128.35,104972216.2,957910.5043,26986365.82,105037385.5,717399.3927
88,33011816.99,105331918.6,443977.3735,27378364.67,105011267.7,1011653.262
89,22716556.7,104906813.7,1965266.647,26337539.11,104943017.2,1108144.327
90,22511087.27,104625929.8,1127233.664,26313506.66,104912545.6,1008724.397
91,22596416.03,104430126.8,448256.2301,26307009.59,104906505,940719.438
92,22448472.08,105866178,447393.9997,26290282,105013833,1096314.213
93,22407445.71,105414516,446706.5527,26287204.85,104950120.8,1165735.227
94,22381547.62,105138100.3,446158.085,26287405.39,104913819.4,1166059.756
95,47234733.59,104896389,445720.2615,26289580.24,104867607.9,1166383.508
96,32251453.9,104791666.3,445370.6095,23805967.92,104843303.7,1166706.64
97,26224116.8,104711038.9,3900449.199,22820322.19,104827675.8,1167029.277
98,22603561.46,104649413.6,1408888.018,22437128.92,104885034.3,821815.7273
99,22476232.14,104602097.5,971067.3498,22415770.9,104930376.5,725735.6583
100,22446116.55,104565523.9,447184.0744,26732443.79,104943448.6,673419.5625
