count,mat,sparse,matsmooth,sparsesmooth
1,520.3794624,1040.758925,13631.55121,8243.319856
2,59383.17414,18390.90328,70520.97068,18058.30348
3,2262.7321,2846.815729,61586.45205,17666.97238
4,4599.431228,16170.44961,62468.48549,28652.85914
5,1392.039098,2767.671738,64950.79775,28865.2488
6,284967.4769,50115.67706,66109.33603,30279.14499
7,14710.58096,16434.24775,10017.38798,124088.3636
8,6672.899306,57776.24955,35249.07805,139011.5703
9,17010.99254,17232.3979,41108.05069,136393.9219
10,7184.730477,9837.152665,48521.5742,148571.8267
11,4507.736631,519161.7704,51848.61362,154833.908
12,140869.0313,91050.2808,53943.8949,158973.1541
13,35967.76248,44688.00775,431441.5752,185569.8507
14,54078.61009,78121.92212,460179.8298,310073.0385
15,23819.9276,41147.55919,465095.074,344179.0271
16,14984.14303,539858.0005,478043.5955,365451.3026
17,2028357.433,224033.764,485709.1829,278649.6977
18,179659.0354,667203.9467,87731.27306,788478.3722
19,78654.83115,248651.8649,235950.1512,809650.601
20,88562.5353,147508.9371,275319.8502,844166.392
21,53312.07996,105849.9759,288107.902,896160.7181
22,38467.88345,2773177.136,307387.7505,932022.1475
23,920753.426,773065.0911,320667.9939,994194.9565
24,275503.3264,421230.8196,364674.245,1118023.271
25,152502.7941,407480.5674,413611.1134,1350152.874
26,149711.3228,285157.1231,502325.9746,1461485.102
27,104869.1002,3084041.181,544955.7006,1544976.3
28,1140784.681,1392206.666,576694.5741,3722962.508
29,520187.6682,1581878.835,1439579.321,4343105.566
30,596077.1,964141.7045,1685975.459,4664036.921
31,362859.9531,702613.1145,1815467.136,4888954.648
32,263563.4676,13973972.22,1904654.49,5064991.496
33,5455208.418,4492921.957,1973730.898,24070073.31
34,1752168.356,3186535.606,10088450.97,26159019.44
35,1243535.487,2088730.339,10965109.66,26944233.29
36,808796.7234,1582797.355,11290639.06,27542384.56
37,608945.5052,108999381.3,11537244.78,27976127.94
38,46028808.76,14937652.62,11714083.81,19164889.72
39,6135461.826,7112604.846,8252538.956,20627587.31
40,2871182.468,5079486.67,8919892.56,22436042.48
41,2041825.366,3751514.284,9710539.546,23568577.07
42,1493140.641,64943190.17,10195830.89,127925556.4
43,28721084.48,22251140.6,10573460.39,132853233.1
44,9472229.843,16154880.66,51791572.05,137347630.5
45,6824417.397,10742159.64,56395099.32,144346741.1
46,4468282.085,525536411.1,58110965.42,148730026.7
47,3381288.153,89581573.59,59436994.64,133913832.6
48,234811642.8,44723127.57,60390646.08,150596331.3
49,32489866.21,51150433.66,42617334.92,190932502.4
50,15403747.87,32658587.53,46025838.13,206511570.6
51,11098428.22,451455440.6,50179495.76,217609199.6
52,8149545.355,172994066.9,52730162.27,698075454.7
53,145945086.9,246403983.5,273155114.9,792652746.5
54,49532382.29,129045774.7,284118644.8,811640207.6
55,36172036.02,88146732.49,294270963.5,863750240.4
56,23851760.77,2853786716,310303038.5,897246580.5
57,1110274308,645880526,320308655.1,909428283.3
58,200762736.5,341341288.8,109275408.6,1027594305
59,100293976.2,389595938.5,226593602.9,1304873076
60,116332410.5,255628433,266422558.2,1416911972
61,73879843.99,2914695230,288161405.9,1498288654
62,55108075.86,1236710637,303847154.7,4011425566
63,787353707.9,1727735139,1193003519,4621992634
64,299438752.5,949790420.4,1252965497,4956294958
65,225026649.4,662511840.9,1309001351,5183511629
66,152308587.6,15480379791,1398013672,42996092364
67,4500889899,4289545980,1455504506,43659157273
68,1087163598,3399246759,1471264824,44546590047
69,579618020.6,2085873772,1653951164,46254797070
70,670088254.3,1.89725E+11,2098208033,47218926305
71,439762756.6,18795704336,2276284610,29412595053
72,4579691493,8726709851,7141964769,32525644073
73,2000595295,11940281875,7856366352,43383816577
74,2800902368,6906519945,10492705149,46632673811
75,1560471140,1.00694E+11,11260040277,2.03065E+11
76,24768163548,34360949434,50625176866,2.1629E+11
77,8151699409,63017572370,53693662355,3.08779E+11
78,15182289281,28184568049,76538541395,3.24887E+11
79,6637578009,7.89068E+11,80370365515,2.68229E+13
80,1.98386E+11,1.6682E+11,82898130078,2.69104E+13
81,40110590994,4.96804E+11,2.17324E+12,2.87101E+13
82,1.22376E+11,1.43557E+11,2.2087E+12,2.88343E+13
83,34341409886,1.32518E+14,2.20173E+12,2.89114E+13
84,19276400821,1.22638E+12,2.2249E+12,4.13852E+12
85,1.06501E+13,9.16518E+12,2.2358E+12,4.44508E+12
86,2.17416E+11,1.1181E+12,4.63128E+11,4.15852E+12
87,87507856752,5.29112E+11,5.10832E+11,4.46628E+12
88,1.50196E+11,8.65384E+12,7.41831E+11,3.26289E+13
89,73771219562,2.75918E+12,7.9177E+11,3.47665E+13
90,1.78675E+12,7.73237E+12,1.49106E+12,6.86969E+13
91,4.55941E+11,2.6569E+12,7.62774E+12,7.12108E+13
92,1.2425E+12,1.41342E+14,8.19117E+12,8.89506E+13
93,3.99894E+11,1.93417E+13,1.33691E+13,6.94649E+13
94,3.5702E+12,1.72411E+14,1.53334E+13,7.96433E+13
95,3.24702E+13,2.03017E+13,1.85689E+13,5.31407E+13
96,3.27307E+12,9.13559E+13,1.38929E+13,5.16785E+13
97,2.71323E+13,4.39139E+13,1.65479E+13,4.17591E+13
98,1.02211E+13,7.02333E+13,1.30197E+13,4.10408E+13
99,1.97478E+13,3.98986E+13,1.4419E+13,2.64446E+13
100,9.09027E+12,1.29906E+13,9.09027E+12,1.29906E+13
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
