count,mat,sparse
1,22023.55857,299663.6762
2,158092.2579,1628514.848
3,49223.96322,449098.5416
4,146433.2413,29203296.85
5,48320.97384,572669.6837
6,33484.27012,371523.9774
7,563046.8047,2351246.347
8,153883.9177,1066200.187
9,92745.21113,749732.9179
10,119419.9599,961182.7704
11,81235.39374,713296.1337
12,64113.96514,594977.536
13,525876.5655,2714430.648
14,252726.0013,1653128.479
15,170523.2154,1241333.601
16,132628.4838,1405728.928
17,152071.5899,1123984.349
18,123153.2982,3998669.969
19,412633.1869,2792543.896
20,299342.5088,3865871.974
21,411564.1391,2749412.744
22,300337.6414,2195728.913
23,242102.3581,9732043.323
24,207266.2309,6308635.127
25,887561.9783,4793119.01
26,592236.1141,5592119.406
27,454498.038,4431554.448
28,427040.0002,3757568.729
29,361495.7955,12808727.13
30,319427.1684,9205362.32
31,1103202.43,9247913.017
32,797223.6196,7411579.029
33,647333.1539,6326421.133
34,550431.3494,5628036.417
35,487831.2068,23715369.27
36,2117126.58,15794364.94
37,1413760.415,12131972.83
38,1082882.934,9668244.83
39,863892.6885,31605071.79
40,2982376.292,23090600.26
41,2160837.71,23462233.92
42,2211595.667,18894457.18
43,1763694.805,16172820.71
44,1497243.85,63692306.94
45,1325241.212,43537806.19
46,5697743.056,33888985.46
47,3827053.379,32167000.25
48,2937202.68,27405334.64
49,2353295.462,85432597.78
50,8054171.761,63362296.95
51,5855207.608,64738093.97
52,6020639.109,52508017.98
53,4801902.826,45161260.8
54,4076481.7,169085309.6
55,17227478.47,117457773.7
56,11643583.86,101112994.5
57,9932745.274,83218714.93
58,8028428.734,72278828.69
59,6876373.27,343753541.9
60,38149683.8,217344049.3
61,23249260.6,162760754.3
62,16958312.97,136005150.5
63,13967994.16,117440724.9
64,11867378.59,424834248.2
65,49622562.82,297741651.5
66,33630483.59,257893281.2
67,28804003.51,213121892.9
68,23293725,185690757.4
69,19961005.7,856198061.7
70,109780676.9,545260244.3
71,67015549.37,410409012.6
72,48941266.24,344680452.3
73,40440712.86,1209303650
74,34367121.55,852910534.8
75,142800208.3,971203152.1
76,96826669.83,740876245.5
77,83183188.77,614795473.3
78,67269332.34,537467070.6
79,57658655.22,2420077769
80,315141601.3,1547241798
81,192315593.9,1168606335
82,140524891,984048739.3
83,116422408.7,3417301005
84,474893151.2,2412195035
85,323090758.5,2751115006
86,376445681.8,2099254154
87,278151414.6,1743368340
88,225453090.9,1525503870
89,193619244.5,6852756730
90,1033318591,4377283951
91,633602919.5,3305269758
92,464653029.2,2787274241
93,386131458.1,9718466860
94,1532648573,6850476391
95,1048839239,7846262869
96,1221605629,5972817288
97,906341737.9,4952674910
98,737077575.5,22171596078
99,3732130653,14195858881
100,2320276870,10725272273
