count,mat,sparse,matsmooth,sparsesmooth
1,84818.79897,6430648.72,141472.3336,5440099.722
2,87110.94128,6445020.78,163011.7803,4373965.426
3,168101.8506,6589567.08,186002.8436,3318627.604
4,189033.8415,6712987.409,172838.4113,2164129.77
5,178296.2355,1022274.623,170367.2869,1050877.089
6,192516.0327,1099977.24,176442.9152,1111902.787
7,202066.2574,1168331.671,181718.7143,1168593.995
8,102279.6895,817077.9089,187140.192,1239311.628
9,176678.2191,1146724.001,216037.2884,1401440.287
10,208674.3771,1327403.113,213945.7481,1549009.3
11,218895.0282,1383433.28,211851.2636,1706019.107
12,229173.6462,1521919.838,212865.4207,1956804.415
13,246765.1712,1627721.201,222981.2804,2233639.765
14,166220.5177,1884569.065,235509.4771,2532184.624
15,198201.9549,2112452.148,268904.567,3008694.845
16,223965.8135,2637359.823,287688.6911,3580272.099
17,279752.9446,2906096.586,303619.4105,3816000.168
18,309406.1549,3120445.499,311574.8991,4119301.362
19,333195.9669,4267120.17,312659.2713,4618729.293
20,292122.5757,4970338.416,292122.5757,4970338.416
