count,mat,scalar
1,59.98563401,11.87231467
2,60.1048198,317.2200589
3,60.0960854,86.00310127
4,64.68490975,213.0077049
5,64.35852597,72.81050112
6,716.1893544,24321.25161
7,115.5558369,722.5875403
8,296.1982918,8287.757313
9,104.2388238,653.7655551
10,1168.080743,18882.70877
11,325.1714233,17665.5838
12,546.9894626,5204.826365
13,259.2180533,138156.4117
14,202546.9119,39387.97386
15,1498.167777,397116.0627
16,8290.937404,52162.06942
17,1173.780072,5.32E+07
18,15066.11801,911199.2202
19,13603.59371,332269.378
20,5087.300779,1.15E+06
21,7.15E+08,373595.025
22,85918.54671,3.51E+07
23,246813.713,4.39E+06
24,43224.90614,1.96E+06
25,5.97E+06,2.79E+07
26,533757.3223,4.25E+06
27,224345.0519,1.95E+06
28,1.01E+06,1.24E+06
29,300023.8373,3.16E+07
30,164236.6445,9.41E+06
31,9.80E+06,1.07E+07
32,1.60E+06,5.56E+06
33,749471.646,3.71E+06
34,2.23E+06,5.60E+08
35,881613.8636,4.97E+07
36,531987.5626,2.09E+07
37,1.22E+07,2.09E+07
38,3.67E+06,1.29E+07
39,6.03E+06,9.42E+06
40,2.63E+06,3.71E+08
41,1.64E+06,8.54E+07
42,1.89E+08,4.31E+07
43,1.92E+07,3.96E+07
44,8.25E+06,2.72E+07
45,1.03E+07,5.27E+08
46,5.83E+06,1.84E+08
47,4.11E+06,1.05E+08
48,1.11E+08,1.41E+08
49,3.01E+07,9.06E+07
50,1.61E+07,6.72E+07
51,1.69E+07,7.48E+08
52,1.13E+07,3.45E+08
53,8.68E+06,3.13E+08
54,1.07E+08,2.08E+08
55,4.48E+07,1.57E+08
56,3.16E+07,3.24E+09
57,2.22E+07,1.09E+09
58,1.74E+07,6.18E+08
59,4.68E+08,5.31E+08
60,1.26E+08,3.92E+08
61,6.74E+07,3.17E+08
62,4.77E+07,3.21E+09
63,3.68E+07,1.54E+09
64,3.96E+08,9.99E+08
65,1.74E+08,8.35E+08
66,1.25E+08,6.64E+08
67,8.95E+07,4.17E+09
68,7.15E+07,2.46E+09
69,6.10E+07,2.14E+09
70,1.29E+09,1.60E+09
71,3.77E+08,1.30E+09
72,2.12E+08,1.15E+10
73,1.21E+08,5.85E+09
74,1.00E+09,3.90E+09
75,4.76E+08,3.30E+09
76,3.55E+08,2.66E+09
77,2.65E+08,1.52E+10
78,3.30E+09,9.25E+09
79,1.16E+09,8.14E+09
80,8.85E+08,6.19E+09
81,6.13E+08,5.08E+09
82,1.95E+10,3.99E+10
83,3.31E+09,2.13E+10
84,2.58E+09,1.45E+10
85,1.55E+09,1.24E+10
86,7.79E+11,6.36E+10
87,1.40E+10,4.02E+10
88,5.67E+09,5.20E+10
89,8.29E+09,3.58E+10
90,4.42E+09,2.77E+10
91,9.05E+10,1.84E+11
92,2.48E+10,1.05E+11
93,5.27E+10,7.38E+10
94,1.99E+10,8.39E+10
95,1.22E+10,6.40E+10
96,1.00E+12,2.96E+11
97,1.15E+11,1.94E+11
98,5.26E+10,2.48E+11
99,7.50E+10,1.75E+11
100,4.18E+10,1.37E+11
101,7.57E+11,8.36E+11
102,2.59E+11,4.94E+11
103,1.49E+11,3.54E+11
104,3.44E+11,4.02E+11
105,1.75E+11,3.10E+11
106,1.17E+11,1.40E+12
107,1.16E+12,9.27E+11
108,5.54E+11,7.04E+11
109,7.91E+11,9.82E+11
110,4.47E+11,7.40E+11
111,3.13E+11,6.04E+11
112,2.45E+11,2.19E+12
113,2.06E+11,1.57E+12
114,1.81E+11,1.78E+12
115,1.65E+11,1.37E+12
116,3.14E+12,1.13E+12
117,1.08E+12,5.21E+12
118,6.19E+11,3.43E+12
119,2.66E+11,2.60E+12
120,2.74E+12,2.72E+12
121,1.29E+12,2.22E+12
122,5.67E+11,8.16E+12
123,4.75E+11,5.81E+12
124,9.52E+12,6.59E+12
125,3.21E+12,5.04E+12
126,1.19E+12,4.17E+12
127,9.51E+11,1.95E+13
128,8.10E+11,1.28E+13
129,7.19E+11,9.64E+12
130,5.04E+13,1.01E+13
131,7.66E+12,8.18E+12
132,3.57E+12,3.03E+13
133,1.29E+12,2.15E+13
134,2.77E+13,1.70E+13
135,9.10E+12,2.09E+13
136,3.29E+12,1.67E+13
137,2.62E+12,5.15E+13
138,2.23E+12,3.88E+13
139,1.63E+14,5.38E+13
140,2.53E+13,4.02E+13
141,1.15E+13,3.27E+13
142,4.90E+12,1.21E+14
143,4.07E+12,8.62E+13
144,9.50E+13,6.82E+13
145,3.02E+13,8.28E+13
146,1.67E+13,6.65E+13
147,9.77E+12,2.03E+14
148,1.20E+14,1.54E+14
149,5.38E+13,2.11E+14
150,4.34E+13,1.59E+14
151,2.91E+13,1.29E+14
152,2.22E+13,4.73E+14
153,1.83E+13,3.39E+14
154,1.59E+13,3.79E+14
155,1.43E+13,2.91E+14
156,1.31E+13,2.41E+14
157,1.23E+13,1.10E+15
158,3.11E+14,7.29E+14
159,9.76E+13,6.53E+14
160,5.30E+13,5.14E+14
161,1.71E+13,3.08E+15
162,1.59E+13,1.87E+15
163,1.51E+13,1.34E+15
164,1.95E+14,1.49E+15
165,8.60E+13,1.15E+15
166,5.31E+13,5.15E+15
167,1.99E+13,3.47E+15
168,1.65E+14,4.34E+15
169,8.84E+13,3.10E+15
170,3.05E+13,2.44E+15
171,2.78E+13,1.49E+16
172,3.82E+14,8.93E+15
173,1.66E+14,8.57E+15
174,1.01E+14,6.05E+15
175,4.43E+13,5.73E+16
176,4.00E+13,3.00E+16
177,3.52E+14,3.20E+16
178,1.86E+14,2.02E+16
179,7.06E+13,1.86E+17
180,6.22E+13,9.09E+16
181,5.65E+13,1.10E+17
182,5.25E+13,7.36E+16
183,4.96E+13,4.18E+18
184,4.74E+13,5.10E+17
185,4.58E+13,2.93E+17
186,4.45E+13,2.33E+17
187,4.36E+13,1.69E+17
188,4.28E+13,2.01E+17
189,4.22E+13,7.13E+17
190,4.18E+13,4.16E+17
191,6.06E+14,2.26E+18
192,2.59E+14,3.24E+17
193,1.57E+14,4.43E+17
194,4.43E+13,3.48E+17
195,3.97E+14,3.44E+17
196,2.09E+14,3.03E+17
197,1.39E+14,7.11E+17
198,4.79E+13,7.70E+17
199,3.03E+14,0.00E+00
200,1.82E+14,0.00E+00
201,5.38E+13,0.00E+00
202,4.98E+14,0.00E+00
203,2.60E+14,0.00E+00
204,1.72E+14,0.00E+00
205,6.30E+13,0.00E+00
206,4.12E+14,0.00E+00
207,2.45E+14,0.00E+00
208,8.00E+13,0.00E+00
209,7.68E+14,0.00E+00
210,4.00E+14,0.00E+00
211,2.62E+14,0.00E+00
212,1.11E+14,0.00E+00
213,7.63E+14,0.00E+00
214,4.52E+14,0.00E+00
215,1.85E+14,0.00E+00
216,1.65E+14,0.00E+00
217,1.52E+14,0.00E+00
218,1.42E+14,0.00E+00
219,1.48E+15,0.00E+00
220,7.40E+14,0.00E+00
221,4.83E+14,0.00E+00
222,2.00E+14,0.00E+00
223,1.86E+14,0.00E+00
224,1.33E+15,0.00E+00
225,7.78E+14,0.00E+00
226,2.80E+14,0.00E+00
227,2.57E+14,0.00E+00
228,2.40E+14,0.00E+00
229,2.27E+14,0.00E+00
230,2.18E+14,0.00E+00
231,2.11E+14,0.00E+00
232,2.05E+14,0.00E+00
233,2.01E+14,0.00E+00
234,1.98E+14,0.00E+00
235,1.96E+14,0.00E+00
236,1.94E+14,0.00E+00
237,2.07E+15,0.00E+00
238,1.04E+15,0.00E+00
239,6.69E+14,0.00E+00
240,2.05E+14,0.00E+00
241,2.02E+14,0.00E+00
242,2.00E+14,0.00E+00
243,1.47E+15,0.00E+00
244,8.54E+14,0.00E+00
245,2.11E+14,0.00E+00
246,2.09E+14,0.00E+00
247,2.07E+14,0.00E+00
248,2.06E+14,0.00E+00
249,2.04E+14,0.00E+00
250,2.04E+14,0.00E+00
