count,mat,scalar
1,3236.371679,129996.5942
2,3236.397506,119125.2418
3,3258.176017,90613.20796
4,4851.220863,92725.73254
5,3544.707857,190859.9881
6,4246.896017,93721.48056
7,3486.111586,91073.91778
8,7758.32469,96224.78343
9,4998.456119,94582.32759
10,101966.4407,90635.30441
11,6144.850668,91623.86218
12,4631.622927,90381.25464
13,3.85E+07,95748.83205
14,10321.8086,97436.88286
15,7412.044565,93004.75044
16,13317.52909,96658.35795
17,8142.32613,95929.86227
18,19354.53051,91090.76807
19,19785.42386,91139.0145
20,13629.36003,130132.808
21,396579.7756,99259.93213
22,44992.40789,118092.9021
23,1.44E+06,98260.61537
24,51127.28951,99367.22025
25,27726.95729,91170.16893
26,919136.1988,95339.11221
27,146443.3143,91322.26122
28,544530.6317,125787.2808
29,126448.3141,99083.47314
30,8.59E+07,116876.229
31,1.29E+06,98344.1685
32,1.52E+06,115727.0242
33,546526.1333,92907.1492
34,8.62E+06,105364.2099
35,2.70E+06,92909.54017
36,6.39E+06,264350.1653
37,2.35E+06,108147.5382
38,1.45E+06,169590.2548
39,6.17E+07,105870.4445
40,1.01E+07,158734.872
41,5.04E+06,102370.6866
42,6.93E+06,140040.8896
43,4.06E+06,101977.8546
44,2.98E+06,102583.1669
45,3.60E+07,136199.3901
46,1.35E+07,116036.6382
47,1.29E+07,132460.8078
48,7.95E+06,115210.833
49,5.96E+06,138891.7673
50,1.61E+08,130428.4635
51,3.69E+07,139579.9218
52,1.96E+07,130796.6309
53,1.68E+07,125942.9546
54,1.23E+07,122932.3614
55,1.15E+08,154513.7796
56,4.96E+07,143781.0218
57,4.92E+07,142619.0499
58,3.14E+07,136854.05
59,2.39E+07,133118.3425
60,2.00E+07,173223.9985
61,3.98E+08,160055.1355
62,1.11E+08,155533.4066
63,6.21E+07,149328.7281
64,4.06E+07,145156.8858
65,3.26E+08,196484.4406
66,1.52E+08,179780.6052
67,1.53E+08,169891.9902
68,1.00E+08,163324.9175
69,7.71E+07,158794.7204
70,6.49E+07,225041.9821
71,1.03E+09,203276.7562
72,3.29E+08,185701.6797
73,1.91E+08,178775.8027
74,1.29E+08,173910.1411
75,9.35E+08,170382.0217
76,4.56E+08,252049.5855
77,4.65E+08,224702.029
78,3.08E+08,191136.8946
79,2.40E+08,186177.6048
80,2.03E+08,289903.7092
81,2.83E+09,254336.1457
82,9.70E+08,215466.3311
83,5.77E+08,208269.3706
84,3.95E+08,344973.8338
85,2.70E+09,296668.0761
86,1.36E+09,269652.4498
87,1.39E+09,242938.4363
88,9.31E+08,383397.7807
89,7.28E+08,337254.0878
90,6.18E+08,322466.3154
91,7.93E+09,597028.4907
92,2.85E+09,496642.7511
93,1.72E+09,574826.9068
94,1.19E+09,485592.3287
95,7.79E+09,435987.7932
96,4.01E+09,1.05E+06
97,4.12E+09,777011.5774
98,2.78E+09,658687.2068
99,2.18E+09,703821.4301
100,1.86E+09,618755.9989
101,1.66E+09,1.41E+06
102,2.02E+10,1.08E+06
103,7.50E+09,1.33E+06
104,4.58E+09,1.04E+06
105,2.68E+09,905993.8334
106,1.77E+10,3.19E+06
107,9.09E+09,1.99E+06
108,6.35E+09,1.56E+06
109,4.97E+09,1.71E+06
110,4.22E+09,1.43E+06
111,4.84E+10,4.44E+06
112,1.87E+10,3.03E+06
113,9.35E+09,4.03E+06
114,7.50E+09,2.87E+06
115,6.47E+09,2.35E+06
116,5.82E+09,1.19E+07
117,1.79E+11,6.45E+06
118,3.80E+10,6.88E+06
119,1.98E+10,4.88E+06
120,9.24E+09,3.98E+06
121,1.01E+11,4.34E+07
122,4.05E+10,1.51E+07
123,2.05E+10,9.58E+06
124,1.65E+10,8.97E+06
125,1.42E+10,7.09E+06
126,3.52E+11,4.15E+07
127,8.78E+10,2.13E+07
128,4.73E+10,2.28E+07
129,2.66E+10,1.57E+07
130,2.26E+10,1.25E+07
131,2.20E+11,1.42E+08
132,9.55E+10,4.94E+07
133,5.01E+10,3.11E+07
134,4.04E+10,2.90E+07
135,3.49E+10,2.27E+07
136,6.83E+11,1.29E+08
137,2.02E+11,6.78E+07
138,1.13E+11,7.27E+07
139,6.53E+10,5.00E+07
140,5.35E+11,3.99E+07
141,2.57E+11,3.85E+08
142,1.92E+11,1.51E+08
143,1.42E+11,9.71E+07
144,1.77E+12,9.07E+07
145,6.95E+11,7.14E+07
146,5.44E+11,3.65E+08
147,3.66E+11,2.04E+08
148,2.84E+11,2.19E+08
149,2.38E+11,1.53E+08
150,6.58E+12,1.23E+08
151,1.66E+12,9.94E+08
