mat,scalar
29.992817,59.98563401
144.9720951,305.5125222
1283.212203,1167.947738
1154.237288,1807.76643
203.9950993,271.8246568
525.9582591,956.4242028
105343.9522,13961.03135
2371.852618,3094.589988
355.4537412,425.846774
689.6606037,1202.176171
4554.72044,5380.902523
4022.797947,7195.616286
1720.802061,2045.502894
2358.994084,4166.586726
5157.657044,6326.580494
4518.097379,8351.146629
1758.921021,2141.463742
2514.84152,4535.894467
112623.8802,82631.89088
29469.95515,50960.39632
13446.74009,13330.67563
12178.01773,21758.12258
6627.710408,19563.97378
7646.80445,29081.64258
55109.90583,8454.87042
26885.2917,16317.43942
10872.09671,5562.319268
11727.10612,11536.25969
5883.083087,63039.79708
7479.702801,86857.12826
81202.01006,23987.6815
63276.67641,46127.85692
28484.69975,25694.94656
32418.47602,51092.63037
101496.7868,15712.19412
77496.58232,33856.22772
30549.03183,402594.3281
36326.75002,513945.4333
17974.63728,91966.62141
23448.30719,183034.9117
13146.67663,50871.41107
17568.32267,111886.41
541869.9936,80652.95385
272773.7295,178283.5021
91266.62284,47286.23266
104958.9515,110389.3043
47286.39142,398570.5576
63066.26434,999521.5595
43792.81666,185144.9292
62518.09814,474887.5662
31103.24993,474221.6808
45323.17197,1.31E+06
365135.6954,200132.2193
392059.0729,539826.5087
145404.3821,128262.0367
201260.6424,342418.019
160837.2556,1.53E+06
227544.4685,5.67E+06
96232.64935,584673.0658
146832.9877,1.99E+06
70514.40076,362507.3491
109754.2458,1.19E+06
2.04E+06,535006.0477
2.15E+06,1.95E+06
468729.3208,343541.7009
638087.0177,1.19E+06
251415.9936,261714.3654
382140.2458,863981.8784
239862.5033,1.50E+06
382476.7784,7.23E+06
169932.328,836200.9815
278642.366,3.77E+06
1.80E+06,897567.2707
2.86E+06,4.29E+06
762164.2662,623404.6063
1.24E+06,2.78E+06
856074.173,494219.8774
1.46E+06,2.08E+06
518110.0172,3.76E+06
888579.868,2.91E+07
381409.3034,1.81E+06
658252.374,1.20E+07
6.40E+06,1.22E+06
1.61E+07,7.37E+06
2.06E+06,1.18E+06
4.27E+06,7.48E+06
1.21E+06,933038.1664
2.41E+06,5.44E+06
1.16E+06,795355.4201
2.43E+06,4.34E+06
851182.8689,710039.7853
1.71E+06,3.68E+06
5.41E+06,3.32E+06
1.69E+07,3.18E+07
2.91E+06,2.02E+06
8.07E+06,1.66E+07
2.04E+06,1.50E+06
5.27E+06,1.12E+07
2.45E+06,1.16E+06
7.11E+06,8.22E+06
1.82E+06,1.03E+06
4.89E+06,6.85E+06
1.50E+06,3.48E+06
3.79E+06,4.27E+07
5.99E+06,2.42E+06
2.45E+07,2.56E+07
3.93E+06,1.92E+06
1.43E+07,1.84E+07
3.81E+06,1.71E+06
1.45E+07,1.65E+07
2.96E+06,1.51E+06
1.03E+07,1.35E+07
2.50E+06,4.04E+06
8.08E+06,6.57E+07
2.21E+06,3.06E+06
6.79E+06,4.32E+07
1.12E+07,2.84E+06
6.93E+07,4.10E+07
6.61E+06,2.42E+06
3.31E+07,3.15E+07
4.84E+06,2.16E+06
2.15E+07,2.60E+07
3.71E+06,1.99E+06
1.55E+07,2.25E+07
3.27E+06,1.87E+06
1.28E+07,2.02E+07
2.99E+06,1.79E+06
1.11E+07,1.85E+07
1.07E+07,5.73E+06
7.65E+07,1.26E+08
7.31E+06,4.05E+06
4.35E+07,7.30E+07
5.74E+06,3.25E+06
3.05E+07,5.16E+07
4.46E+06,2.23E+06
2.20E+07,2.85E+07
4.06E+06,5.79E+06
1.89E+07,1.47E+08
1.14E+07,4.42E+06
9.74E+07,9.48E+07
8.50E+06,3.17E+06
6.20E+07,5.61E+07
6.65E+06,2.92E+06
4.43E+07,4.83E+07
