example,model_type,inst_set,inst_num,inst_data,extender,real_T,solver,solver_options,nondefaults,script_status,n,p,q,nu,cone_types,num_cones,max_q,status,solve_time,iters,primal_obj,dual_obj,rel_obj_diff,compl,x_viol,y_viol,z_viol,time_rescale,time_initx,time_inity,time_unproc,time_loadsys,time_upsys,time_upfact,time_uprhs,time_getdir,time_search,setup_time,check_time,total_time
nonparametricdistr,JuMP,vecext,1,"(500, Main.Examples.VecNegLogEF())",,Float64,ECOS,,,Success,1001,251,1502,1502.0,"[""Nonnegative"", ""HypoPerLog""]",501,3,Optimal,0.257762657,17,49.64552879948339,49.64552789260528,1.7906380771768445e-8,1.0518880867531658e-5,2.139228016950767e-9,4.996165844313292e-9,5.131919000866958e-9,,,,,,,,,,,1.127811577,1.00181459,54.187099543
nonparametricdistr,JuMP,vecext,2,"(1000, Main.Examples.VecNegLogEF())",,Float64,ECOS,,,Success,2001,501,3002,3002.0,"[""Nonnegative"", ""HypoPerLog""]",1001,3,Optimal,16.220779869,17,105.4038497139102,105.4038476321298,1.9564897838093713e-8,2.3690593145961006e-5,2.4291821887345577e-9,5.691132999429018e-9,5.683892856378492e-9,,,,,,,,,,,1.002686968,17.035167934,62.718435217
nonparametricdistr,JuMP,vecext,3,"(2500, Main.Examples.VecNegLogEF())",,Float64,ECOS,,,Success,5001,1251,7502,7502.0,"[""Nonnegative"", ""HypoPerLog""]",2501,3,Optimal,97.93531822599999,18,241.97277154272805,241.9727689654266,1.0607367464412362e-8,2.9288449770386586e-5,1.21636478667142e-9,2.7928284008153863e-9,2.768367535210814e-9,,,,,,,,,,,4.009132332,99.206594763,148.192891067
nonparametricdistr,JuMP,vecext,4,"(5000, Main.Examples.VecNegLogEF())",,Float64,ECOS,,,Success,10001,2501,15002,15002.0,"[""Nonnegative"", ""HypoPerLog""]",5001,3,Optimal,696.598506582,17,456.42346775539136,456.4234588125203,1.9550529955633003e-8,9.781914792728053e-5,2.790401576469037e-9,4.8135140760319594e-9,4.721064261747898e-9,,,,,,,,,,,12.024387764,698.468039734,754.369362603
nonparametricdistr,JuMP,vecext,5,"(10000, Main.Examples.VecNegLogEF())",,Float64,ECOS,,,SolveCheckKilledTime,20001,5001,30002,30002.0,"[""Nonnegative"", ""HypoPerLog""]",10001,3,,,,,,,,,,,,,,,,,,,,,46.096189228,2427.936002639,2518.743553082
nonparametricdistr,JuMP,vecext,1,"(500, Main.Examples.VecNegEntropyEF())",,Float64,ECOS,,,Success,1001,251,1502,1502.0,"[""Nonnegative"", ""HypoPerLog""]",501,3,Optimal,0.285250044,18,47.538514956244796,47.53851395124114,2.07052827089203e-8,4.963170174918593e-6,4.744308279569509e-10,2.4511708200982623e-9,2.108512919818395e-9,,,,,,,,,,,1.002180073,1.001997238,46.42320245
nonparametricdistr,JuMP,vecext,2,"(1000, Main.Examples.VecNegEntropyEF())",,Float64,ECOS,,,Success,2001,501,3002,3002.0,"[""Nonnegative"", ""HypoPerLog""]",1001,3,Optimal,16.710909617,18,99.07906012372632,99.07905768302932,2.4387689684848336e-8,1.165310916043041e-5,5.838558525539383e-10,2.95131280586497e-9,2.472992560731413e-9,,,,,,,,,,,1.001451552,17.034761685,63.172173916
nonparametricdistr,JuMP,vecext,3,"(2500, Main.Examples.VecNegEntropyEF())",,Float64,ECOS,,,Success,5001,1251,7502,7502.0,"[""Nonnegative"", ""HypoPerLog""]",2501,3,Optimal,98.170151854,18,227.7074884221252,227.7074824316994,2.619252223713313e-8,2.8134862700029336e-5,8.082055580338476e-10,2.8699265321509437e-9,2.3696313800058988e-9,,,,,,,,,,,4.009207097,99.204856521,148.421952033
nonparametricdistr,JuMP,vecext,4,"(5000, Main.Examples.VecNegEntropyEF())",,Float64,ECOS,,,Success,10001,2501,15002,15002.0,"[""Nonnegative"", ""HypoPerLog""]",5001,3,Optimal,738.720087103,19,437.36703361524667,437.36702773364715,1.3417066403728976e-8,2.7965246410799338e-5,2.778488550347902e-10,1.3993753546903272e-9,1.1502230348736653e-9,,,,,,,,,,,12.025643041,740.529882131,797.43673804
nonparametricdistr,JuMP,vecext,5,"(10000, Main.Examples.VecNegEntropyEF())",,Float64,ECOS,,,SolveCheckKilledTime,20001,5001,30002,30002.0,"[""Nonnegative"", ""HypoPerLog""]",10001,3,,,,,,,,,,,,,,,,,,,,,45.099919736,2217.433836165,2307.252865134
