example,inst_set,count,inst_data,extender,solver,n,p,q,cone_types,status,solve_time,iters,prim_obj,dual_obj,rel_obj_diff,compl,x_viol,y_viol,z_viol,setup_time,check_time,total_time
DensityEstJuMP,nat,1,"(167, 1, 150, true)",nothing,Hypatia,152,1,319,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",Optimal,0.2371478081,56,-0.8844538219,-0.8844538937,3.81E-08,1.42E-07,1.25E-09,1.11E-16,5.68E-10,1.173710863,1.066449396,50.29901549
DensityEstJuMP,nat,2,"(332, 1, 300, true)",nothing,Hypatia,302,1,634,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",Optimal,1.516018867,71,-0.9792446293,-0.9792447034,3.74E-08,1.57E-07,7.97E-10,2.22E-16,3.00E-10,1.001945865,2.005404512,41.3911168
DensityEstJuMP,nat,3,"(662, 1, 600, true)",nothing,Hypatia,602,1,1264,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",Optimal,6.170632839,120,-1.096031282,-1.096031355,3.52E-08,1.15E-07,8.12E-09,4.44E-16,1.45E-10,1.002732028,7.011138236,47.74937982
DensityEstJuMP,nat,4,"(1322, 1, 1200, true)",nothing,Hypatia,1202,1,2524,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",Optimal,29.38643718,152,-1.121338388,-1.121338471,3.93E-08,1.86E-07,2.84E-10,4.44E-16,8.50E-11,1.00129206,30.03672764,70.6880227
DensityEstJuMP,nat,5,"(1982, 1, 1800, true)",nothing,Hypatia,1802,1,3784,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",Optimal,103.382194,195,-1.180738074,-1.180738178,4.79E-08,2.34E-07,2.55E-10,2.22E-16,6.91E-11,2.002979441,104.1516287,143.8080468
DensityEstJuMP,nat,6,"(2642, 1, 2400, true)",nothing,Hypatia,2402,1,5044,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",SlowProgress,119.1486461,115,-1.137184026,-1.1396446,0.001149991812,0.004602317509,3.80E-06,4.44E-16,1.24E-06,4.00805345,120.2135896,163.9937931
DensityEstJuMP,nat,7,"(3302, 1, 3000, true)",nothing,Hypatia,3002,1,6304,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",SlowProgress,228.494756,129,-1.132112549,-1.134386145,0.001065222146,0.004207380461,3.34E-06,2.22E-16,9.55E-07,6.013207171,229.4254096,275.4859774
DensityEstJuMP,nat,1,"(255, 2, 20, true)",nothing,Hypatia,232,1,487,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",Optimal,0.2298340797,36,-0.5527737251,-0.5527737925,4.34E-08,1.19E-07,3.76E-09,5.55E-17,1.01E-09,1.002309055,1.001954638,42.08748594
DensityEstJuMP,nat,2,"(948, 2, 40, true)",nothing,Hypatia,862,1,1810,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",Optimal,5.277980089,62,-0.786110661,-0.7861107479,4.86E-08,1.93E-07,1.84E-09,5.55E-16,3.30E-10,1.001278884,6.007714248,47.28259975
DensityEstJuMP,nat,3,"(2081, 2, 60, true)",nothing,Hypatia,1892,1,3973,"[""HypoGeoMean"", ""WSOSInterpNonnegative""]",Optimal,47.59496307,87,-0.8780542536,-0.8780543334,4.25E-08,1.91E-07,1.07E-09,3.33E-16,1.36E-10,2.003379583,48.07144462,88.69140903
