n,d,m,n_ext,n_nat,p_ext,p_nat,q_ext,q_nat,status_ext_Hypatia,status_nat_Hypatia,converged_ext_Hypatia,converged_nat_Hypatia,iters_ext_Hypatia,iters_nat_Hypatia,solve_time_ext_Hypatia,solve_time_nat_Hypatia,prim_obj_ext_Hypatia,prim_obj_nat_Hypatia
1,20,2,1,1,0,0,123,123,co,co,true,true,9,9,0.023708820343017578,0.026371002197265625,-46.006264123536845,-46.00626409846133
1,20,4,1,1,0,0,410,410,co,co,true,true,9,9,0.8049318790435791,0.18095707893371582,-67.84877101859989,-67.84877088621066
1,20,8,1,1,0,0,1476,1476,co,co,true,true,9,10,4.308545112609863,3.1582510471343994,147.58787747297703,147.5878756766408
1,20,16,1,1,0,0,5576,5576,co,co,true,true,9,11,203.19452595710754,190.10638904571533,-216.2905135638783,-216.2904892593205
1,20,32,1,1,0,0,21648,21648,tl,tl,false,false,,1,,1915.598102092743,,144.69585507820048
1,40,2,1,1,0,0,243,243,co,co,true,true,11,10,0.07953715324401855,0.1348741054534912,-30.156995515236076,-30.15699550134295
1,40,4,1,1,0,0,810,810,co,er,true,true,11,38,1.5943200588226318,27.070111989974976,-4.988091783499468,-4.988091090056087
1,40,8,1,1,0,0,2916,2916,co,co,true,true,11,10,35.07063603401184,29.33338499069214,327.7224106474568,327.7224108962163
1,40,16,1,1,0,0,11016,11016,tl,co,false,true,,10,,938.2422409057617,,395.913614936263
1,40,32,,1,,0,,42768,,rl,,false,,,,,,
1,80,2,1,1,0,0,483,483,co,co,true,true,12,12,0.3630349636077881,0.6733629703521729,-32.28001415719004,-32.280020267536905
1,80,4,1,1,0,0,1610,1610,co,co,true,true,14,12,9.916208028793335,8.113022089004517,34.344857735152814,34.344858594391226
1,80,8,1,1,0,0,5796,5796,co,co,true,true,13,12,321.54133582115173,336.80019903182983,80.9558766053155,80.95587662447358
1,80,16,1,1,0,0,21896,21896,tl,tl,false,false,2,1,2149.831811904907,2120.2198388576508,193.0809178840461,762.9890506918066
4,2,2,4,4,0,0,210,210,co,co,true,true,10,10,0.053212881088256836,0.07196903228759766,19.200000089969034,19.200000538791105
4,2,4,4,4,0,0,700,700,co,co,true,true,11,12,1.3334219455718994,0.6608438491821289,154.31111960640416,154.31111199689718
4,2,8,4,4,0,0,2520,2520,co,co,true,true,10,12,20.337841987609863,17.17707896232605,116.6222223297274,116.62222425088007
4,2,16,4,4,0,0,9520,9520,co,co,true,true,9,17,670.1334049701691,943.9119529724121,-2116.2666648692425,-2116.2666468145912
4,4,2,4,4,0,0,1485,1485,co,co,true,true,14,14,7.286431074142456,10.127197027206421,-1116.8304744185714,-1116.83044696362
4,4,4,4,4,0,0,4950,4950,tl,tl,true,false,30,30,1854.780335187912,1826.6677510738373,-1517.091182921945,-1517.09062665146
