# n = 4
fold,tr_refrmse,ts_refrmse,deg,use_wsos,tr_rmse,ts_rmse,time,conv,status
1,0,0,4,true,0.7259801168756306,0.017472426496252025,18.6034811,mono,OPTIMAL
1,0,0,4,true,0.7017320050101354,0.022383543035161393,7.9493581,conv,OPTIMAL
1,0,0,4,true,0.5050663103645557,0.0686132765701362,0.1576451,neither,OPTIMAL
1,0,0,4,false,0.7230171526393163,0.017652060915309967,113.1690822,mono,OPTIMAL
1,0,0,4,false,0.7442664836116663,0.020674660502860903,2.3452389,conv,OPTIMAL
1,0,0,4,false,0.5050663103645557,0.0686132765701362,0.1601733,neither,OPTIMAL
1,0,0,5,true,0.7176090386388102,0.017447377301099017,76.932338,mono,OPTIMAL
1,0,0,5,true,0.6927131990163959,0.022650654535033624,187.653235301,conv,OPTIMAL
1,0,0,5,true,0.32106496074224616,0.11169172086816798,0.1870346,neither,OPTIMAL
1,0,0,5,false,0.7191558153876116,0.017490653082882834,144.5693593,mono,OPTIMAL
1,0,0,5,false,0.7442664836120567,0.02067466050290095,2.8860674,conv,OPTIMAL
1,0,0,5,false,0.32106496074224616,0.11169172086816798,0.190166299,neither,OPTIMAL
1,0,0,6,true,0.7155937844487894,0.017587981007036936,85.154164001,mono,OPTIMAL
1,0,0,6,true,0.6596636811360203,0.023016972280683654,239.123023601,conv,OPTIMAL
1,0,0,6,true,0.2426095410529512,0.9181260938046489,0.3331405,neither,OPTIMAL
1,0,0,6,false,0.9897254054769749,0.06456191756732693,355.3373638,mono,TIME_LIMIT
1,0,0,6,false,1.198800801618629,0.017250289502050254,313.327050999,conv,TIME_LIMIT
1,0,0,6,false,0.2426095410529512,0.9181260938046489,0.3571822,neither,OPTIMAL
2,0,0,4,true,0.5265512947446993,0.06093839686362465,25.950152999,mono,OPTIMAL
2,0,0,4,true,0.5158904678670729,0.0616821287981169,6.0949533,conv,OPTIMAL
2,0,0,4,true,0.433771880918057,0.07546331756440468,0.1495644,neither,OPTIMAL
2,0,0,4,false,0.5247944844489836,0.06107153267640642,121.8327041,mono,OPTIMAL
2,0,0,4,false,0.5222855627772836,0.061520391016982326,1.722176401,conv,OPTIMAL
2,0,0,4,false,0.433771880918057,0.07546331756440468,0.144198,neither,OPTIMAL
2,0,0,5,true,0.524890752762545,0.06091029342632967,61.8700388,mono,OPTIMAL
2,0,0,5,true,0.5136454198573495,0.061495548340836606,145.6706278,conv,OPTIMAL
2,0,0,5,true,0.38702123763651275,0.057287750540175715,0.266875499,neither,OPTIMAL
2,0,0,5,false,0.5241286698283959,0.061282083500230185,151.7452416,mono,OPTIMAL
2,0,0,5,false,0.522285562777445,0.061520391016970884,2.1511685,conv,OPTIMAL
2,0,0,5,false,0.38702123763651275,0.057287750540175715,0.1911624,neither,OPTIMAL
2,0,0,6,true,0.5239712390781875,0.061230057049406074,66.1159942,mono,OPTIMAL
2,0,0,6,true,0.5051022555690589,0.061435173007623016,166.8489941,conv,OPTIMAL
2,0,0,6,true,0.300462693005927,0.3303694227404253,0.3761896,neither,OPTIMAL
2,0,0,6,false,0.9538320332648437,0.08597709721294296,368.6431897,mono,TIME_LIMIT
2,0,0,6,false,1.0291355137047307,0.06877409550271112,309.6904635,conv,TIME_LIMIT
2,0,0,6,false,0.300462693005927,0.3303694227404253,0.3468425,neither,OPTIMAL
3,0,0,4,true,0.7020910154123929,0.030640217309708017,18.3210898,mono,OPTIMAL
3,0,0,4,true,0.6821717054767727,0.03230223222899713,8.6682424,conv,OPTIMAL
3,0,0,4,true,0.5531989490501908,0.021212369733396613,0.1430722,neither,OPTIMAL
3,0,0,4,false,0.6993848300933013,0.030650635474537634,141.358880599,mono,OPTIMAL
3,0,0,4,false,0.7377346232111778,0.025191601504986776,2.481780401,conv,OPTIMAL
3,0,0,4,false,0.5531989490501908,0.021212369733396613,0.1428054,neither,OPTIMAL
3,0,0,5,true,0.6685058031138164,0.04099848017891851,90.2876814,mono,OPTIMAL
3,0,0,5,true,0.6742051918879433,0.034450884579307846,188.066543,conv,OPTIMAL
3,0,0,5,true,0.3990189256183075,0.03681595500540139,0.2200613,neither,OPTIMAL
3,0,0,5,false,0.6845130486170838,0.03579818031912978,154.268377701,mono,OPTIMAL
3,0,0,5,false,0.7377346232114524,0.025191601504780163,3.0816473,conv,OPTIMAL
3,0,0,5,false,0.3990189256183075,0.03681595500540139,0.1985319,neither,OPTIMAL
3,0,0,6,true,0.6672410609986998,0.04064574687514863,110.3256245,mono,OPTIMAL
3,0,0,6,true,0.6475592763236846,0.03308422612131565,197.7400698,conv,OPTIMAL
3,0,0,6,true,0.31266722189747936,0.0887652151455449,0.3614897,neither,OPTIMAL
