# n = 3,,,,,,,,,
fold,tr_refrmse,ts_refrmse,deg,use_wsos,tr_rmse,ts_rmse,time,conv,status
1,1.070450022,1.226860799,4,TRUE,3.644594256,2.031870973,4.0957459,mono,OPTIMAL
1,1.070450022,1.226860799,4,TRUE,2.812353176,1.565168675,2.934833199,conv,OPTIMAL
1,1.070450022,1.226860799,4,TRUE,2.756551258,1.944418752,0.159493401,neither,OPTIMAL
1,1.070450022,1.226860799,4,FALSE,3.644592046,2.031873532,4.4058238,mono,OPTIMAL
1,1.070450022,1.226860799,4,FALSE,2.812413726,1.562936717,0.6531884,conv,OPTIMAL
1,1.070450022,1.226860799,4,FALSE,2.756551258,1.944418752,0.1566711,neither,OPTIMAL
1,1.070450022,1.226860799,5,TRUE,3.57328213,2.128514786,43.2277418,mono,ITERATION_LIMIT
1,1.070450022,1.226860799,5,TRUE,2.735249453,1.481961579,13.9249681,conv,OPTIMAL
1,1.070450022,1.226860799,5,TRUE,2.258364742,8.123777969,0.1459555,neither,OPTIMAL
1,1.070450022,1.226860799,5,FALSE,Inf,Inf,Inf,mono,OPTIMIZE_NOT_CALLED
1,1.070450022,1.226860799,5,FALSE,2.812413726,1.562936717,0.7016695,conv,OPTIMAL
1,1.070450022,1.226860799,5,FALSE,2.258364742,8.123777969,0.1344475,neither,OPTIMAL
1,1.070450022,1.226860799,6,TRUE,3.514684131,1.979953678,45.2889559,mono,ITERATION_LIMIT
1,1.070450022,1.226860799,6,TRUE,2.664746726,1.535856162,16.8563116,conv,OPTIMAL
1,1.070450022,1.226860799,6,TRUE,0.003155776,50.69018862,0.1117383,neither,OPTIMAL
1,1.070450022,1.226860799,6,FALSE,3.530487385,2.127805859,302.1656957,mono,TIME_LIMIT
1,1.070450022,1.226860799,6,FALSE,2.668995382,1.561278798,13.1825972,conv,OPTIMAL
1,1.070450022,1.226860799,6,FALSE,0.003155776,50.69018862,0.1103413,neither,OPTIMAL
2,1.035478027,1.341559332,4,TRUE,3.748861404,1.594715437,5.2985646,mono,OPTIMAL
2,1.035478027,1.341559332,4,TRUE,2.823292686,1.773735051,2.4449113,conv,OPTIMAL
2,1.035478027,1.341559332,4,TRUE,2.599108672,3.958675001,0.138447199,neither,OPTIMAL
