
instname,numtype,solver,systemsolver,status,rawstatus,primalobj,dualobj,niters,buildtime,moitime,gctime,bytes,solvertime,directionstime,directionsbytes,absgap,relgap,xfeas,yfeas,zfeas,notes
synthes1,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,0.7592846963152342,0.7592831688314045,12,2.559741934,17.114091875,0.713454975,3055087895,13.078308820724487,9.99448734,2263506799,2.58647387737326e-7,3.4064680787723024e-7,9.852919601848764e-8,0.0,1.0181946218337123e-8,normalF64
rijc786,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,3.3750741805284568,3.3750741658109717,9,0.000592808,1.671858935,0.110674744,884207833,1.6718368530273438,1.67067667,883877049,1.7314417050107167e-7,5.130084910577606e-8,4.3806091758680265e-8,0.0,2.4182465804812306e-9,normalF64
syn05m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-1144.5242634438,-1144.5242629729985,17,0.000431655,1.884612648,0.128596313,968930936,1.8845980167388916,1.883268159,968598920,9.801361888772675e-9,8.563699522875126e-12,1.2838095357102419e-5,0.0,7.500813734289885e-10,normalF64
rijc782,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,8.74828001207762,8.74827980798742,14,0.000816209,6.477304464,0.436348384,3455154104,6.477290153503418,6.475431543,3454763352,9.697775585904012e-7,1.1085351404798091e-7,6.675897675537783e-8,0.0,2.7255138961977412e-8,normalF64
batchdes,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,160860.75202683703,160860.7520299979,44,0.000530015,2.075835144,0.17661997,1025255128,2.075824022293091,2.072708817,1024877128,1.4725540733073923e-14,9.154216020529265e-20,0.00021902502168898646,0.0,2.1940018399230093e-14,normalF64
synthes3,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,15.08218629067887,15.082174620696078,14,0.000741534,0.695560981,0.030282355,178210944,0.6955521106719971,0.69365892,177755728,3.411521129398057e-7,2.261955729326125e-8,6.10820441386996e-7,0.0,1.412080594517521e-8,normalF64
batch,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,259180.348118912,259180.3481340304,49,0.001346905,5.462481148,0.331723852,1869958673,5.462470054626465,5.457081462,1868954097,4.1308677801189786e-14,1.593819828493623e-19,0.0001222565433884829,0.0,1.3893171143506828e-11,normalF64
syn15m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-1682.938009809231,-1682.9380072333092,14,0.001824564,1.223914783,0.061614772,279498536,1.2239010334014893,1.218169591,278370520,4.7827997178954125e-8,2.8419345751407476e-11,2.5832063849433007e-5,0.0,3.876827940949896e-9,normalF64
demb761,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,183.4947775023798,183.46744478241436,10,0.004051082,22.33644387,1.48678341,11490449088,22.33643102645874,22.33123282,11489081328,0.02005330261638209,0.00010930169458763962,0.001866864075976033,0.0,0.0009706052073199743,normalF64
demb762,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-10.358419916493077,-10.358435973033238,13,0.003995316,12.297080403,0.83164123,6215831568,12.297057867050171,12.291695234,6214463088,4.793354585858661e-6,4.627495915884329e-7,4.261877452001836e-7,0.0,2.1748856399646986e-7,normalF64
demb763,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-10.351925217337083,-10.428930787592293,10,0.003958853,19.882115989,1.288751692,10197469920,19.882093906402588,19.877044094,10196102160,0.021541814603026253,0.002080947664396637,0.0020077643206010466,0.0,0.0010230690125673735,normalF64
syn20m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-2970.6758183320912,-2970.6758120288355,13,0.002454544,2.793528642,0.170349928,1067233968,2.7935068607330322,2.788893215,1065679680,1.6383526197372156e-6,5.515083839262815e-10,4.86632032759743e-6,0.0,1.6588321285464635e-7,normalF64
syn05m03m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4844.747855802127,-4844.7477790095345,21,0.002881217,2.971990221,0.163798147,1036106328,2.9719748497009277,2.965869694,1033994040,6.432600922201548e-7,1.3277473077361064e-10,0.00029545974117842336,0.0,1.7277013323434608e-8,normalF64
fiac81a,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,7.513057989145272,7.513057952584799,17,0.006576421,22.328558971,1.408143452,11097675288,22.328536987304688,22.318574442,11095162776,1.2671936978556064e-7,1.686655028954808e-8,6.461086930412514e-9,0.0,7.926217453297177e-10,normalF64
syn30m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-1426.1617833232758,-1426.1617831599422,25,0.004313088,10.952805622,0.625831939,4722102632,10.95278286933899,10.943493347,4719140296,2.4364490869288602e-8,1.7083960006636757e-11,1.8349991371886969e-6,0.0,5.388817521614913e-10,normalF64
syn10m02m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4717.038457292943,-4717.038386179003,21,0.004078969,9.817544308,0.631616221,4506087784,9.8175208568573,9.809233185,4503049688,9.893918320458273e-7,2.0974851933126457e-10,6.8690680337934865e-6,0.0,6.079269479006864e-8,normalF64
ravem,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,230062.15587301602,230062.15587458276,61,0.004700431,10.382898301,0.597416227,3073295648,10.382880926132202,10.3661806,3069831792,9.397280232480631e-14,4.084670160877529e-19,0.0002471909333368605,0.0,5.909018624905837e-14,normalF64
syn05m04m,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-6587.6914541637525,-6587.691453726193,28,0.004648134,11.415808266,0.717200527,4985394400,11.415795087814331,11.405354343,4981751168,1.8430812431802224e-9,2.797764977312807e-13,1.9223602027843233e-8,0.0,7.18491685610443e-11,normalF64
enpro56,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,223974.27322563803,223974.45164234404,64,0.005086158,9.04914476,0.532235589,2732957480,9.049126148223877,8.999061954,2729040552,1.2142928358297195e-8,5.421568517862813e-14,1.0068938723710854,0.0,8.514205381404117e-9,normalF64
syn05m03h,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,-4027.9831309425294,-4027.9830886546215,24,0.005086552,11.820523599,0.785005603,5674903880,11.820502042770386,11.811900739,5672143832,1.4637648027004957e-7,3.633989406400472e-11,6.271310030973631e-7,0.0,7.984958257522176e-9,normalF64
