instname,numtype,solver,systemsolver,status,rawstatus,primalobj,dualobj,niters,buildtime,moitime,gctime,bytes,solvertime,directionstime,directionsbytes,absgap,relgap,xfeas,yfeas,zfeas,notes
bss1,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,1.7112389672263364,1.711238959488004,12,2.547672545,15.121657436,0.562532875,2021579236,11.094676971435547,7.993054012,1231845984,1.6549832393408792e-8,9.671257366861515e-9,1.0350192469720714e-9,0.0,1.4685910924241507e-9,oraclesBF
demb782,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,0.6931471783277884,0.6931471736260615,7,2.605050943,14.682578162,0.486845147,1708898965,10.688305139541626,7.511945896,919166929,1.3414720556603754e-8,1.9353351015524328e-8,2.7558330633646353e-9,0.0,1.382722911330865e-9,oraclesBF
bss2,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,4.108531662069831,4.108531659604134,9,2.557941889,14.924176689,0.5581654,1899775036,10.906903982162476,7.793042685,1110021160,8.490720126985707e-9,2.0666069609413223e-9,5.998380240772174e-10,0.0,3.3564785651935396e-10,oraclesBF
demb781,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,0.6931471806453932,0.6931471773871488,12,2.590506664,15.089527941,0.50527965,2019163476,11.12027096748352,7.972342747,1229386032,7.649373821457262e-9,1.103571372863688e-8,3.041030345943672e-10,0.0,3.3893340656144067e-10,oraclesBF
synthes1,Float64,hypatia,qrchol_dense,OTHER_ERROR,NumericalFailure,0.7592846963152342,0.7592831688314045,12,2.551980789,16.919969125,0.669633597,3006468717,12.930698871612549,9.851271057,2219007929,2.58647387737326e-7,3.4064680787723024e-7,9.852919601848764e-8,0.0,1.0181946218337123e-8,oraclesBF
gptest,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-4.414286537084669,-4.414286546920818,12,2.560075363,14.954739454,0.574760218,1886000900,10.9341299533844,7.817385389,1096196400,9.212070294084551e-9,2.0868763766677655e-9,5.950514383782144e-10,0.0,4.712893674153944e-10,oraclesBF
rijc781,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-4.414286537084669,-4.414286546920818,12,2.578911962,14.762488792,0.493702234,1889970572,10.835258960723877,7.705157303,1100166088,9.212070294084551e-9,2.0868763766677655e-9,5.950514383782144e-10,0.0,4.712893674153944e-10,oraclesBF
synthes2,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,-0.5544168937748399,-0.5544169439771452,17,2.565857083,14.788472516,0.506084681,1817516654,10.776658058166504,7.682158932,1030061114,3.263710108841738e-9,5.886743613853869e-9,1.3405637568882972e-8,0.0,1.437467763438249e-10,oraclesBF
rijc784,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,13.342702798621138,13.34270277215572,16,2.568527155,18.812604071,0.748882265,3996515525,14.866292953491211,11.735881447,3206679393,5.134537706119602e-8,3.848199119622626e-9,4.150377179421867e-9,0.0,1.3412768212506982e-9,oraclesBF
rijc785,Float64,hypatia,qrchol_dense,OPTIMAL,Optimal,3.375177931356218,3.375177930092999,19,2.572496797,18.46730808,0.75911168,3833394813,14.519779920578003,11.389561988,3043537961,3.533967429802942e-8,1.0470462603746547e-8,6.507424176359139e-9,0.0,5.560015212707914e-10,oraclesBF
