 ─────────────────────────────────────────────────────────────────────────────
                                      Time                   Allocations      
                              ──────────────────────   ───────────────────────
       Tot / % measured:           15.4s / 62.3%           1.89GiB / 66.4%    

 Section              ncalls     time   %tot     avg     alloc   %tot      avg
 ─────────────────────────────────────────────────────────────────────────────
 step                     15    6.46s  67.4%   431ms   0.93GiB  74.3%  63.6MiB
   update_lhs             15    3.70s  38.6%   247ms    526MiB  41.0%  35.1MiB
   dir_aff                15    941ms  9.82%  62.8ms    122MiB  9.53%  8.16MiB
     solve_system         15    574ms  5.99%  38.3ms   70.8MiB  5.52%  4.72MiB
     iter_ref             15    367ms  3.83%  24.5ms   51.5MiB  4.01%  3.43MiB
       apply_lhs          15    361ms  3.77%  24.1ms   44.7MiB  3.48%  2.98MiB
       solve_system       18   3.13ms  0.03%   174μs   3.68MiB  0.29%   209KiB
   rhs_corr               15    705ms  7.36%  47.0ms   67.7MiB  5.27%  4.51MiB
   alpha_aff              15    300ms  3.13%  20.0ms   36.1MiB  2.81%  2.41MiB
   alpha_comb             15    211ms  2.20%  14.1ms   88.7MiB  6.91%  5.92MiB
   dir_corr               15    118ms  1.23%  7.85ms   56.5MiB  4.40%  3.77MiB
     solve_system         15    109ms  1.13%  7.24ms   46.3MiB  3.61%  3.09MiB
     iter_ref             15   9.12ms  0.10%   608μs   10.2MiB  0.79%   694KiB
       solve_system       23   4.28ms  0.04%   186μs   4.70MiB  0.37%   209KiB
       apply_lhs          15   1.62ms  0.02%   108μs   1.61MiB  0.13%   110KiB
   rhs_aff                15   63.9ms  0.67%  4.26ms   8.82MiB  0.69%   602KiB
 initialize                1    2.60s  27.1%   2.60s    281MiB  21.9%   281MiB
   init_cone               1    1.09s  11.4%   1.09s    116MiB  9.03%   116MiB
   remove_prim_eq          1    813ms  8.48%   813ms   80.9MiB  6.30%  80.9MiB
     qr_fact               1    547ms  5.70%   547ms   54.1MiB  4.21%  54.1MiB
