 ─────────────────────────────────────────────────────────────────────────────
                                      Time                   Allocations      
                              ──────────────────────   ───────────────────────
       Tot / % measured:           15.4s / 62.0%           1.90GiB / 66.5%    

 Section              ncalls     time   %tot     avg     alloc   %tot      avg
 ─────────────────────────────────────────────────────────────────────────────
 step                     11    6.47s  67.6%   589ms   0.93GiB  73.9%  86.8MiB
   update_lhs             11    3.78s  39.4%   343ms    546MiB  42.3%  49.6MiB
   dir_aff                11    959ms  10.0%  87.2ms    128MiB  9.92%  11.7MiB
     solve_system         11    567ms  5.92%  51.5ms   72.7MiB  5.63%  6.61MiB
     iter_ref             11    393ms  4.10%  35.7ms   55.5MiB  4.29%  5.04MiB
       apply_lhs          11    373ms  3.89%  33.9ms   45.7MiB  3.53%  4.15MiB
       solve_system       13   4.80ms  0.05%   369μs   5.54MiB  0.43%   437KiB
   rhs_corr               11    701ms  7.32%  63.7ms   67.5MiB  5.23%  6.14MiB
   alpha_aff              11    295ms  3.08%  26.8ms   30.2MiB  2.34%  2.74MiB
   alpha_comb             11    166ms  1.73%  15.1ms   72.0MiB  5.57%  6.54MiB
   dir_corr               11   88.8ms  0.93%  8.08ms   53.8MiB  4.16%  4.89MiB
     solve_system         11   78.4ms  0.82%  7.12ms   42.2MiB  3.27%  3.84MiB
     iter_ref             11   10.4ms  0.11%   950μs   11.6MiB  0.90%  1.06MiB
       solve_system       12   4.69ms  0.05%   391μs   5.12MiB  0.40%   437KiB
       apply_lhs          11   2.47ms  0.03%   225μs   2.53MiB  0.20%   235KiB
   rhs_aff                11   64.2ms  0.67%  5.83ms   8.82MiB  0.68%   821KiB
 initialize                1    2.58s  27.0%   2.58s    287MiB  22.2%   287MiB
   init_cone               1    1.10s  11.4%   1.10s    116MiB  8.98%   116MiB
   remove_prim_eq          1    814ms  8.51%   814ms   85.8MiB  6.65%  85.8MiB
     qr_fact               1    544ms  5.69%   544ms   55.8MiB  4.32%  55.8MiB
     reduce                1    236ms  2.47%   236ms   28.2MiB  2.18%  28.2MiB
       mul_G_Q             1   4.93ms  0.05%  4.93ms   4.81MiB  0.37%  4.81MiB
   preproc_init_x          1    607ms  6.34%   607ms   79.9MiB  6.19%  79.9MiB
     qr_solve              1    605ms  6.32%   605ms   78.0MiB  6.04%  78.0MiB
     qr_fact               1   1.94ms  0.02%  1.94ms   1.93MiB  0.15%  1.93MiB
 setup_system              1    368ms  3.84%   368ms   37.7MiB  2.92%  37.7MiB
   mul_G_Q                 1   60.6ms  0.63%  60.6ms   11.4MiB  0.89%  11.4MiB
