count,soc,sdp,sparse
1,100.0857204,50.0428602,4020.18188
2,100.0919966,50.12263607,3930.968237
3,112.4423194,56.1767446,2835.577519
4,100.0915504,106.2008304,2876.352907
5,100.3243421,71.32604775,6676.011343
6,100.3090071,90.31350561,2962.966874
7,111.9157202,69.05856527,2829.870677
8,111.0870016,152.1409601,2929.916579
9,708.5161018,99.06766421,3250.953097
10,185.9366191,1060.116129,2912.817738
11,370.0667241,119.4308934,2955.735684
12,171.4781996,92.22156205,2948.282084
13,140.8563016,4028.045072,2855.227818
14,519.1078234,200.0272464,2899.303024
15,253.4905932,139.6595784,3083.945377
16,344.3960694,282.5129912,3080.8677
17,224.9283049,153.3080189,2814.135865
18,160288.6848,125.4707844,2861.613995
19,700.2640645,583.3607074,2805.319799
20,3935.913038,260.452013,2869.88954
21,608.6084381,197.4877575,3525.043076
22,399.4832673,313.5333642,86468.92433
23,2423.006693,213.1892223,3462.179647
24,13153.10316,178.2589624,3310.228452
25,1515.440988,973.3609131,3207.570345
26,18324.7169,461.4311053,3173.249639
27,6394.05656,323.5353831,3196.777597
28,405845.1307,492.6337578,19902.39559
29,12386.51982,334.7425352,4486.411839
30,5466.670666,270.4331162,15529.89702
31,273047.5497,1567.444208,4426.877502
32,41262.9718,865.6620173,4794.095754
33,387432.8714,614.0297039,4643.998087
34,44510.08343,805.6011845,4596.375763
35,21090.60637,587.8847961,4517.073378
36,16371036.94,2945.11283,4483.061406
37,269153.783,1837.812506,5905.387501
38,103207.6837,3214.493864,5397.187601
39,211071.4231,1940.569947,5773.061348
40,91413.46687,1419.665251,5323.280913
41,58442.10091,1145.64107,5068.40665
42,2056472.015,9224.573274,6854.138783
43,418635.0187,4569.558488,6271.418396
44,480297.9799,3126.967647,6670.657049
45,229842.5307,2979.310128,6167.058319
46,152948.3957,2358.430251,5857.094634
47,78622519.99,12888.65607,5651.445343
48,1747034.409,7665.280962,7913.743794
49,692266.3354,8130.401468,7181.793764
50,644464.8293,5854.071981,6869.627756
51,410848.0736,4691.85179,6539.530238
52,311733.4643,42187.74291,6314.79542
53,9000952.8,19169.90486,9263.179337
54,1955164.831,12809.22536,8294.585903
55,1037313.639,12168.48133,7651.140389
56,875766.7573,9588.270066,7299.085591
57,7726154.153,58011.8107,7055.216953
58,3325583.123,32734.38116,6880.118535
59,7161049.669,35093.15245,10615.21964
60,3154879.034,24431.12067,9351.975832
61,2079959.848,19243.90429,7917.506137
62,1618394.696,207569.4745,7664.72228
63,33919517.27,91012.29264,12678.61966
64,8489611.544,58512.1979,10906.87055
65,4704284.349,55661.91273,9185.889035
66,4046866.419,42569.62596,8800.403144
67,30693984.1,285516.0637,16273.88672
68,14022919.88,160931.4113,13425.95676
69,29246967.84,174000.7558,11206.9765
70,13443901.09,119418.985,10560.88768
71,9022200.262,92665.3124,10118.7297
72,7104016.577,940396.5495,22065.47183
73,112163377.9,435883.3084,17068.85199
74,33086089.81,284171.2116,12962.3542
75,19265122.51,271674.9926,12200.62947
76,16777105.11,208099.6589,11678.64727
77,12886457.38,1.25E+06,30930.18499
78,88902433.98,737363.5373,22591.11591
79,42385541.66,797460.6644,18556.92857
80,41257478.73,558466.2775,14468.8406
81,28051235.21,438505.2393,37015.16654
82,22257080.72,3.63E+06,28415.89414
83,280619732.9,1.84E+06,23054.69085
84,94736208.51,1.24E+06,78954.49264
85,62126741.7,1.19E+06,56534.58717
86,44883894.42,930911.7914,58363.32507
87,36690508.8,4.84E+06,46260.33295
88,1385862553,2.99E+06,204463.4397
89,223245894.4,3.24E+06,133190.592
90,114130354.5,2.32E+06,101592.1592
91,78056252.16,1.85E+06,123088.198
92,62605410.66,1.30E+07,96419.01205
93,621189500.1,7.03E+06,335877.7362
94,245968066.6,4.88E+06,238959.2442
95,168580267.2,4.73E+06,347547.9401
96,124492115.4,3.73E+06,244565.0007
97,2300533963,1.77E+07,193921.1899
98,631964811.7,1.12E+07,906889.6564
99,360132099.1,1.22E+07,576216.442
100,354300013.2,8.86E+06,674277.2876
