count,soc,sdp,sparse
1,102.6071858,66.7738238,4067.818377
2,102.6518431,74.82795288,3856.375376
3,105.0165878,78.61513872,3636.155864
4,104.7455243,97.80798182,3655.023676
5,226.4304346,96.38134858,3729.943714
6,243.55289,294.1393648,2977.304993
7,297.5044334,299.9628423,2975.858755
8,309.4169292,304.5954417,2999.541036
9,315.3707892,1079.776264,2984.603284
10,277.4891336,1099.968181,2914.273269
11,290.9999284,915.8768705,2948.498797
12,285.8657974,948.4932901,2973.5252
13,296.5558185,960.7105814,2946.695957
14,32326.12153,180.1957239,2947.973192
15,32362.35277,256.8624161,2929.176547
16,33098.83726,281.020903,2886.36538
17,33151.67974,264.0158562,2975.200455
18,33186.59073,296.0609253,19706.15815
19,1613.4551,313.6046129,19826.27128
20,4104.02292,232.5842639,19927.25301
