count,sdp,soc,sparse
1,3415.668277,6831.336554,46475.31003
2,3418.235257,6831.377221,359979.3316
3,3501.219189,6866.570987,74412.87778
4,3986.896211,9082.382823,52177.49345
5,3963.269527,7224.478253,318370.9897
6,14309.71086,8140.141637,72940.38776
7,5813.67006,7158.138713,51871.99825
8,9578.291319,14876.99735,46637.71962
9,5462.327688,9471.593847,117213.7382
10,4699.360825,67483.81548,71870.84781
11,15051.98436,11613.01513,59503.99501
12,7762.282777,8843.101413,64139.32247
13,10319.93939,182733.4663,56273.8857
14,6988.424772,20791.44119,81980.44968
15,29429.06761,13971.37183,70706.63335
16,14292.30127,29921.85023,76584.50941
17,10884.54008,15579.66761,68017.38394
18,20875.9561,12409.12065,82677.41015
19,12664.4749,74574.83623,88164.68621
20,10222.51543,28724.28841,78339.0536
21,33562.56255,43544.81524,76565.92588
22,20950.14872,24371.93074,76272.39147
23,16562.59627,19084.60905,82510.41319
24,25879.98691,116240.9675,82427.1795
25,18473.09505,48283.36018,126211.3923
26,15379.52849,34540.4586,67500.04068
27,45188.0803,42423.52326,136745.4098
28,31024.17646,32229.94585,67354.03817
29,25123.79966,394795.0829,101792.1533
30,33079.07096,76854.86313,81248.39864
31,26063.94778,443279.7864,105876.6863
32,22502.052,76113.84706,82603.44056
33,20400.78945,57725.11632,191117.7782
34,52645.98727,6876617.315,77956.48086
35,38943.33655,150329.6001,600059.8753
36,32447.82984,1648341.167,78543.23247
37,31858.2382,139981.1426,77370.28345
38,75473.3418,102229.1168,116093.9632
39,58671.63771,19727052.07,88731.00926
40,82827.42974,436102.4511,114403.2456
41,62037.45745,1176321.606,88424.85162
42,51747.25668,297246.6585,110651.7496
43,45772.58283,198240.2091,99099.01897
44,144050.0376,4932869.228,105523.1898
45,100990.9203,925109.7392,97040.99326
46,81302.72813,1105082.158,124710.721
47,80206.12214,555047.9138,115224.8833
48,69614.3062,563299391.6,126378.7901
49,198424.3325,5348248.255,110344.7014
50,146238.9912,17259480.25,138637.9955
51,158176.2544,3142911.408,130357.8616
52,126993.2721,1668992.099,141835.9301
53,109398.1727,34512304.96,126483.019
54,601246.8517,8707350.217,122390.6844
55,287381.3539,10275034.28,119488.7431
56,219118.1757,5209253.819,152873.2563
57,217222.3934,340544809.7,143250.4817
58,183004.6849,36933013.65,136552.3435
59,788617.102,17535549.5,132357.5071
60,450760.6559,31597842.83,129330.9015
61,505348.1952,15822149.13,127094.0463
62,374669.4098,10990395.79,166188.3063
63,312548.306,141744805.3,154869.0706
64,3560827.086,47876656.14,140187.9281
65,1131563.38,59263900.9,137158.3723
66,728476.4053,31614310.51,184236.6712
67,712335.8396,22474911.01,170477.7585
68,569093.5167,18224089.2,154924.5079
69,3612690.948,15876524.67,150723.3187
70,1816195.751,756771505.6,209417.6666
71,2084336.402,105582535.9,192001.5063
72,1380326.147,51839083.51,175492.5175
73,1081066.797,27193497.41,255646.8506
74,26536663.62,23410154.59,231350.6272
75,4812155.869,21142598.1,226645.9867
76,2992280.292,276310110.5,212937.9637
77,2877595.365,93248945.7,203535.7286
78,17584057.98,56006724.83,313458.9215
79,9392375.226,31875226.49,279110.7489
80,27066526.75,209289473.4,260393.6887
81,10434358.61,103762527.6,245491.7102
82,7125854.942,70649968.25,404004.9958
83,5604116.39,55596997.8,352730.4419
84,107698215.8,47608603.98,336738.1375
85,22668722.49,42847072.81,311543.7537
86,14773402.7,39789361.5,294581.1497
87,14141735.79,503439752.6,520471.5012
88,11025383.03,173954000.2,444664.9968
89,61871795.07,105042517,398675.6395
90,33782966.21,54253349.33,370637.2081
91,24558061.96,354409226.3,712568.289
92,28155868.8,176563482.2,593163.7876
93,21773819.06,95887606.54,546542.6615
94,18328259.17,81814785.2,496357.285
95,70028516.47,73452897.27,463269.2059
96,46365470.03,68093577.28,440322.7551
97,45433314.1,840620647.6,917500.8316
98,35466950.21,295486544.2,744264.656
99,30022323.93,179187343.8,649052.1011
