           poly,             obj,               n,         halfdeg,               U,              nu,      total time,      build time,     interp time,   % time affine,     % time comb,      % time dir,       num iters,    aff per iter,   comb per iter,      corr steps
       realpsd1,         -14.298,               3,               2,             574,              70,          750.44,            0.04,            0.21,            0.24,            0.32,            0.44,              65,            2.38,            2.95,               1
    complexpsd1,         -14.298,               3,               2,             196,              34,           92.66,            0.01,            0.29,            0.19,            0.20,            0.61,              25,            2.16,            2.40,               0
      realwsos1,         -14.298,               3,               2,             210,              70,          338.33,            0.01,            0.10,            0.24,            0.55,            0.21,              37,            2.46,            4.00,               2
   complexwsos1,         -14.298,               3,               2,             100,              34,           77.48,            0.00,            0.06,            0.35,            0.33,            0.31,              26,            2.38,            2.38,               0
       realpsd2,          -7.145,               2,               2,             180,              35,          133.38,            0.00,            0.02,            0.24,            0.20,            0.56,              42,            2.40,            2.43,               0
    complexpsd2,          -7.145,               2,               2,              72,              18,           54.51,            0.00,            0.01,            0.27,            0.24,            0.48,              26,            2.27,            2.42,               0
      realwsos2,          -7.145,               2,               2,              70,              35,           91.08,            0.00,            0.01,            0.32,            0.27,            0.41,              32,            2.50,            3.34,               1
   complexwsos2,          -7.145,               2,               2,              36,              18,           22.60,            0.00,            0.01,            0.22,            0.15,            0.63,              25,            2.44,            2.44,               0
poly,obj,n,halfdeg,G dim,nu,interp t,build t,solve t,affine %t,comb %t,dir %t,# iters,# corr steps,aff / iter,comb / iter
w_r_1_2,-0.016826,1,2,15,12,0.536217,0.000256,3.998529,0.353573,0.316096,0.322258,15,0,2.466667,2.466667
p_r_1_2,-0.016828,1,2,33,12,0.536217,0.000218,5.732489,0.287628,0.294053,0.418319,15,0,2.400000,2.466667
w_c_1_2,-0.016828,1,2,9,7,0.944774,0.000138,2.916710,0.302208,0.340676,0.347227,13,0,2.153846,2.384615
p_c_1_2,-0.016822,1,2,17,7,0.944774,0.000099,2.788815,0.270769,0.287310,0.441921,13,0,2.153846,2.307692
w_r_1_3,-1.756086,1,3,28,22,0.072827,0.000307,20.153918,0.312935,0.420506,0.259222,39,1,2.435897,3.333333
p_r_1_3,-1.756142,1,3,97,22,0.072827,0.000323,38.395692,0.322769,0.336117,0.341114,51,0,2.470588,2.490196
w_c_1_3,-3.704901,1,3,16,10,0.066559,0.000197,5.816381,0.296130,0.351112,0.344778,19,0,2.157895,2.421053
p_c_1_3,-3.704944,1,3,34,10,0.066559,0.000138,4.845330,0.276072,0.299147,0.424781,15,0,2.200000,2.333333
w_r_1_4,-16.103842,1,4,45,35,0.086721,0.000341,25.600571,0.321901,0.458480,0.210778,28,1,2.500000,3.571429
p_r_1_4,-16.103813,1,4,230,35,0.086721,0.000902,84.544367,0.343746,0.347835,0.308419,43,0,2.465116,2.488372
w_c_1_4,-16.103865,1,4,25,13,0.261046,0.000226,7.046864,0.360710,0.320259,0.310404,18,0,2.444444,2.388889
p_c_1_4,-16.103818,1,4,57,13,0.261046,0.000187,11.130284,0.173074,0.530255,0.296671,18,0,2.277778,2.388889
w_r_1_5,-70.021638,1,5,66,51,0.097965,0.000723,48.446138,0.281517,0.519021,0.188390,29,2,2.517241,4.551724
p_r_1_5,-70.021595,1,5,471,51,0.097965,0.003075,282.787966,0.365419,0.365212,0.269368,51,0,2.470588,2.490196
w_c_1_5,-70.021722,1,5,36,16,0.086530,0.000286,11.746021,0.361136,0.344957,0.287240,21,0,2.380952,2.380952
p_c_1_5,-70.023244,1,5,86,16,0.086530,0.000327,11.762768,0.259534,0.273807,0.466659,20,0,2.300000,2.400000
w_r_1_6,-247.200119,1,6,91,70,0.126943,0.000840,109.170364,0.327956,0.486149,0.178443,42,2,2.690476,3.928571
p_r_1_6,-247.200235,1,6,868,70,0.126943,0.010291,1069.788533,0.396159,0.393860,0.209981,71,0,2.577465,2.549296
w_c_1_6,-247.203369,1,6,49,19,0.108839,0.000395,15.063980,0.336846,0.382089,0.271552,20,0,2.250000,2.350000
p_c_1_6,-247.204071,1,6,121,19,0.108839,0.000490,17.388092,0.260990,0.265192,0.473818,22,0,2.272727,2.363636
w_r_1_7,-472.042476,1,7,120,92,0.173674,0.001652,1130.195758,0.262899,0.291908,0.443293,500,4,1.286000,1.436000
p_r_1_7,-478.376985,1,7,1478,92,0.173674,0.019081,3960.309895,0.413288,0.413157,0.173555,118,0,2.542373,2.415254
w_c_1_7,-501.331159,1,7,64,22,0.134550,0.000528,33.702359,0.358963,0.398980,0.236579,27,0,2.407407,2.481481
p_c_1_7,-501.328782,1,7,162,22,0.134550,0.000903,35.515446,0.246324,0.255949,0.497727,30,0,2.333333,2.400000
w_r_1_8,-1045.457231,1,8,153,117,0.398764,0.002159,1740.819687,0.269024,0.290337,0.439428,500,2,1.214000,1.316000
p_r_1_8,-1045.413142,1,8,2367,117,0.398764,0.041432,7172.876037,0.437378,0.417606,0.145016,79,0,2.683544,2.556962
w_c_1_8,-1045.419483,1,8,81,25,0.265693,0.000710,63.746023,0.290011,0.518935,0.182079,31,1,2.225806,3.387097
p_c_1_8,-1045.452427,1,8,209,25,0.265693,0.001626,80.936662,0.254465,0.311528,0.431327,41,1,2.243902,3.170732
w_r_1_9,-1114.023418,1,9,190,145,0.297135,0.005233,2735.822116,0.267127,0.300252,0.431064,500,3,1.232000,1.380000
p_r_1_9,-1113.807605,1,9,3610,145,0.297135,0.083543,17661.039237,0.435525,0.417248,0.147227,85,0,2.717647,2.529412
w_c_1_9,-1445.127222,1,9,100,28,0.202243,0.001118,1183.824015,0.231700,0.410767,0.278152,500,12,1.298000,2.248000
p_c_1_9,-1444.959930,1,9,262,28,0.202243,0.002454,103.302198,0.275994,0.263748,0.460257,39,0,2.435897,2.487179
w_r_1_10,-2019.658258,1,10,231,176,0.390979,0.006759,4267.341630,0.286916,0.302093,0.409789,500,2,1.262000,1.322000
p_r_1_10,-2021.146985,1,10,5291,176,0.390979,0.237533,43162.174584,0.425147,0.415876,0.158977,101,0,2.584158,2.524752
w_c_1_10,-2261.152845,1,10,121,31,0.261488,0.001469,190.532574,0.341226,0.493219,0.159753,46,1,2.413043,3.130435
p_c_1_10,-2260.718032,1,10,321,31,0.261488,0.003402,144.887851,0.265882,0.258870,0.475248,43,0,2.395349,2.488372
w_r_2_2,-8.473927,2,2,70,35,0.120217,0.000512,34.934506,0.337881,0.362995,0.295325,32,0,2.250000,2.375000
p_r_2_2,-8.473960,2,2,180,35,0.120217,0.001173,69.296524,0.286064,0.299205,0.414731,40,0,2.250000,2.425000
w_c_2_2,-8.473960,2,2,36,18,0.085043,0.000289,17.269148,0.297197,0.493570,0.197555,23,1,2.260870,3.652174
p_c_2_2,-8.474025,2,2,72,18,0.085043,0.000283,24.808095,0.220440,0.394798,0.380935,37,1,2.135135,3.216216
w_r_2_3,-64.746568,2,3,210,95,0.315324,0.006400,446.620597,0.301064,0.518824,0.173609,44,2,2.363636,3.818182
p_r_2_3,-64.746609,2,3,1110,95,0.315324,0.020175,1431.694714,0.354790,0.384847,0.260363,61,0,2.344262,2.475410
w_c_2_3,-64.746487,2,3,100,34,0.210682,0.001239,97.249993,0.322826,0.520937,0.145668,28,1,2.214286,3.392857
p_c_2_3,-64.747440,2,3,244,34,0.210682,0.002117,87.600695,0.201345,0.304344,0.491547,39,1,2.128205,3.179487
w_r_2_4,-164.840638,2,4,495,210,0.840756,0.027161,3613.769085,0.305560,0.500521,0.190377,55,2,2.509091,3.563636
p_r_2_4,-164.840520,2,4,5005,210,0.840756,0.378776,28740.015918,0.325398,0.403987,0.268570,70,1,2.471429,2.928571
