           poly,             obj,               n,         halfdeg,               U,              nu,      total time,      build time,     interp time,   % time affine,     % time comb,      % time dir,       num iters,    aff per iter,   comb per iter,      corr steps
       realpsd1,         -14.297,               3,               2,             574,              70,         2965.31,            0.03,            0.21,            0.15,            0.20,            0.56,             323,            2.50,            6.22,              52
    complexpsd1,         -14.298,               3,               2,             196,              34,           70.74,            0.01,            0.29,            0.11,            0.11,            0.77,              25,            2.08,            3.52,               1
      realwsos1,         -14.275,               3,               2,             210,              70,         2654.21,            0.01,            0.10,            0.22,            0.24,            0.37,             500,            2.51,            7.27,             108
   complexwsos1,         -14.298,               3,               2,             100,              34,           66.17,            0.00,            0.06,            0.28,            0.27,            0.45,              33,            2.18,            3.36,               1
       realpsd2,          -7.145,               2,               2,             180,              35,           59.85,            0.00,            0.02,            0.09,            0.07,            0.84,              27,            2.19,            4.48,               2
    complexpsd2,          -7.145,               2,               2,              72,              18,           49.92,            0.00,            0.01,            0.13,            0.10,            0.76,              30,            2.23,            4.37,               2
      realwsos2,          -7.145,               2,               2,              70,              35,           47.03,            0.00,            0.01,            0.24,            0.22,            0.52,              29,            2.21,            4.34,               2
   complexwsos2,          -7.145,               2,               2,              36,              18,           14.50,            0.00,            0.01,            0.18,            0.12,            0.68,              24,            2.33,            3.58,               1
poly,obj,n,halfdeg,G dim,nu,interp t,build t,solve t,affine %t,comb %t,dir %t,# iters,# corr steps,aff / iter,comb / iter
w_r_1_2,-0.016849,1,2,15,12,0.536217,0.000230,2.240096,0.267285,0.249931,0.465347,12,0,2.166667,2.250000
p_r_1_2,-0.016829,1,2,33,12,0.536217,0.000164,14.910820,0.849146,0.037078,0.113776,12,0,2.166667,2.250000
w_c_1_2,-0.016827,1,2,9,7,0.944774,0.000157,2.033297,0.285515,0.241209,0.458258,12,0,2.166667,2.250000
p_c_1_2,-0.016823,1,2,17,7,0.944774,0.000098,2.141813,0.251533,0.215131,0.533336,12,0,2.166667,2.250000
w_r_1_3,-1.501683,1,3,28,22,0.072827,0.000461,883.639124,0.074689,0.030826,0.076550,500,487,2.512000,1.096000
p_r_1_3,-1.756095,1,3,97,22,0.072827,0.000376,24.878207,0.216234,0.337711,0.346944,34,5,2.382353,5.735294
w_c_1_3,-3.704954,1,3,16,10,0.066559,0.000197,3.880285,0.279750,0.231267,0.459589,17,1,2.176471,4.058824
p_c_1_3,-3.704946,1,3,34,10,0.066559,0.000136,3.121863,0.241794,0.192140,0.566065,12,0,2.250000,2.166667
w_r_1_4,-16.103827,1,4,45,35,0.086721,0.000356,8.048055,0.264288,0.297448,0.425037,17,0,2.235294,2.352941
p_r_1_4,-16.103866,1,4,230,35,0.086721,0.000891,20.967727,0.253246,0.282884,0.463870,16,0,2.250000,2.437500
w_c_1_4,-16.104032,1,4,25,13,0.261046,0.000231,3.705606,0.282472,0.253452,0.446122,14,0,2.214286,2.214286
p_c_1_4,-16.103908,1,4,57,13,0.261046,0.000170,4.085539,0.211599,0.180448,0.607952,14,0,2.214286,2.214286
w_r_1_5,-70.021747,1,5,66,51,0.097965,0.000925,12.916678,0.251059,0.293597,0.442024,18,0,2.333333,2.444444
p_r_1_5,-70.021634,1,5,471,51,0.097965,0.016717,60.679931,0.254317,0.328276,0.417407,17,0,2.294118,2.352941
w_c_1_5,-70.021653,1,5,36,16,0.086530,0.000305,6.217191,0.282294,0.271458,0.434104,17,0,2.176471,2.176471
p_c_1_5,-70.024212,1,5,86,16,0.086530,0.000317,9.607082,0.202465,0.193374,0.596447,21,1,2.095238,3.761905
w_r_1_6,-247.200397,1,6,91,70,0.126943,0.000836,32.818549,0.290189,0.288777,0.406443,28,1,2.571429,3.500000
p_r_1_6,-247.200341,1,6,868,70,0.126943,0.005768,225.464325,0.275560,0.371959,0.342667,24,1,2.375000,3.750000
w_c_1_6,-247.204067,1,6,49,19,0.108839,0.000386,11.666067,0.317219,0.292950,0.368941,22,1,2.272727,3.727273
p_c_1_6,-247.206061,1,6,121,19,0.108839,0.000498,13.070143,0.223768,0.181894,0.587989,21,1,2.190476,3.714286
w_r_1_7,-447.720033,1,7,120,92,0.173674,0.001350,1199.281700,0.215682,0.217085,0.456059,500,359,1.934000,2.270000
p_r_1_7,-432.774370,1,7,1478,92,0.173674,0.015979,14813.367810,0.377658,0.228314,0.227035,500,409,2.550000,1.940000
