RorC,PorW,HorI,n,half_deg,dim_cone,num_vars,bar_par,status,p_obj,d_obj,iters,corr_steps,avg_aff_ls,avg_comb_ls,t_interp,t_data,t_model,t_solve,frac_t_aff,frac_t_comb,frac_t_dir
c,w,i,1,3,16,15,10,Optimal,-0.034999,-0.035003,16,1,2.062500,3.500000,0.086379,0.000051,0.000175,0.014485,0.242384,0.208178,0.540148
c,w,i,1,4,25,24,13,Optimal,-10.759912,-10.759777,17,1,2.117647,3.529412,0.138430,0.000059,0.000211,0.021564,0.255642,0.232622,0.502413
c,w,i,1,5,36,35,16,Optimal,-18.310160,-18.309797,22,2,2.181818,4.181818,0.152753,0.000060,0.000254,0.046627,0.152291,0.164459,0.670920
c,w,i,2,3,100,99,34,Optimal,-36.955630,-36.955294,20,1,2.000000,3.250000,0.398949,0.000120,0.000904,0.133544,0.373057,0.284179,0.335749
c,w,i,2,4,225,224,55,Optimal,-70.811280,-70.810947,25,2,2.120000,3.840000,1.256558,0.000121,0.002455,0.297977,0.233666,0.410663,0.318946
c,w,i,2,5,441,440,81,Optimal,-97.325637,-97.323164,23,1,2.173913,3.130435,2.415993,0.000075,0.010662,0.834326,0.313268,0.351210,0.327274
c,w,i,3,3,400,399,80,Optimal,-72.874932,-72.874917,24,2,2.125000,3.916667,2.495612,0.000203,0.134810,0.783824,0.295187,0.353183,0.333078
c,w,i,3,4,1225,1224,155,Optimal,-88.069720,-88.065823,53,7,2.245283,4.849057,9.408734,0.002634,0.134349,12.586458,0.250919,0.343978,0.333191
c,w,i,3,5,3136,3135,266,Optimal,-545.989510,-545.980654,46,6,2.000000,4.826087,47.947331,0.000179,1.246835,76.871403,0.293982,0.304366,0.375595
c,w,i,4,3,1225,1224,155,Optimal,-103.240394,-103.239424,36,3,2.138889,3.972222,9.824601,0.000114,0.131633,8.217317,0.333358,0.339560,0.301977
