poly,obj,n,halfdeg,nhbd,G dim,nu,interp t,build t,solve t,affine %t,comb %t,dir %t,# iters,# corr steps,aff / iter,comb / iter
c_w_i_2_2,-5.780937,2,2,i,36,18,0.822579,0.0003,7.398168,0.325081,0.318244,0.327455,22,2,2.318182,5
c_w_h_2_2,-5.780933,2,2,h,36,18,0.822579,0.000252,8.964503,0.374386,0.374016,0.243103,20,0,2.35,2.4
c_p_i_2_2,-5.780913,2,2,i,72,18,0.822579,0.000235,9.526513,0.158735,0.150325,0.681325,23,2,2.217391,4.913043
c_p_h_2_2,-5.780911,2,2,h,72,18,0.822579,0.000265,8.603211,0.261854,0.287816,0.45033,21,0,2.333333,2.428571
r_w_i_2_2,-5.780941,2,2,i,70,35,0.531021,0.000707,30.03929,0.223914,0.219405,0.538856,24,2,2.25,4.875
r_w_h_2_2,-5.780924,2,2,h,70,35,0.531021,0.000666,62.018063,0.266834,0.434171,0.292635,28,1,2.5,3.571429
r_p_i_2_2,-5.780925,2,2,i,180,35,0.531021,0.001239,37.39799,0.255028,0.233273,0.498965,24,2,2.166667,4.791667
r_p_h_2_2,-5.780931,2,2,h,180,35,0.531021,0.001128,72.617839,0.258192,0.416093,0.325715,34,0,2.411765,2.470588
c_w_i_1_1,0.626268,1,1,i,4,4,0.004005,0.000213,2.643091,0.288378,0.245287,0.438849,15,1,1.8,4.066667
c_w_h_1_1,0.626268,1,1,h,4,4,0.004005,0.000166,2.847563,0.226289,0.489662,0.26642,14,1,1.785714,4.142857
c_p_i_1_1,0.626268,1,1,i,6,4,0.004005,7.3E-05,1.522391,0.26076,0.231796,0.495019,15,1,1.8,4.066667
c_p_h_1_1,0.626268,1,1,h,6,4,0.004005,6.2E-05,1.751508,0.194812,0.428091,0.365151,13,1,1.769231,4.230769
r_w_i_1_1,0.626268,1,1,i,6,5,0.007029,0.000146,2.484494,0.284713,0.21628,0.478157,24,1,1.875,3.458333
r_w_h_1_1,0.626268,1,1,h,6,5,0.007029,0.000133,2.333672,0.227046,0.468836,0.285279,14,1,1.785714,4.071429
r_p_i_1_1,0.626268,1,1,i,8,5,0.007029,9E-05,2.702539,0.249551,0.183964,0.556204,24,1,1.875,3.458333
